TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,0.97977,0.10245
min,min,35,0.33824,0.0024
mia,mia,41,0.9055,0.03929
wsh,wsh,25,0.10992,0
atl,atl,35,0.64932,0.00285
bos,bos,46,0.976,0.14863
det,det,18,0.01155,0
den,den,45,0.86277,0.0627
ny,ny,23,0.05475,0
dal,dal,42,0.71788,0.02835
bkn,bkn,40,0.84416,0.0123
por,por,40,0.60042,0.006
okc,okc,27,0.0501,6e-4
tor,tor,41,0.8983,0.0432
chi,chi,25,0.10425,0
cha,cha,24,0.07995,0
uta,uta,41,0.70361,0.0228
gs,gs,31,0.16213,0.0012
cle,cle,22,0.0444,0
hou,hou,43,0.79825,0.02925
lal,lal,48,0.93956,0.20894
phi,phi,45,0.9715,0.12089
mem,mem,34,0.28392,0.0012
no,no,36,0.42134,0.0057
lac,lac,45,0.8857,0.12255
sac,sac,31,0.16425,3e-4
orl,orl,36,0.66821,0.00135
phx,phx,42,0.74755,0.0312
ind,ind,36,0.70242,0.00345
sa,sa,35,0.32428,0.0024
