TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.22162
min,min,42,0.66108,0.01222
mia,mia,43,0.78662,0.01008
wsh,wsh,39,0.20544,4.8e-4
atl,atl,42,0.55544,0.00262
bos,bos,56,1,0.15776
det,det,19,0,0
den,den,56,1,0.1639
ny,ny,47,0.98378,0.01038
dal,dal,43,0.78032,0.02438
bkn,bkn,45,0.90536,0.00136
por,por,38,0.0861,2.8e-4
okc,okc,37,0.04496,2e-5
tor,tor,40,0.41394,0.00506
chi,chi,38,0.12788,3.8e-4
cha,cha,27,0,0
uta,uta,38,0.0696,0
gs,gs,43,0.7832,0.06768
cle,cle,51,0.99972,0.03568
hou,hou,18,0,0
lal,lal,41,0.5257,0.01358
phi,phi,53,0.99998,0.11382
mem,mem,50,0.99954,0.0986
no,no,41,0.41218,0.00152
lac,lac,42,0.6706,0.00386
sac,sac,47,0.97698,0.0027
orl,orl,33,3.6e-4,0
phx,phx,47,0.98974,0.052
ind,ind,36,0.02148,2e-5
sa,sa,20,0,0
