TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.19562
min,min,41,0.5568,0.01414
mia,mia,43,0.83278,0.01166
wsh,wsh,37,0.04632,6e-5
atl,atl,41,0.51036,0.00162
bos,bos,56,1,0.16224
det,det,18,0,0
den,den,54,1,0.11206
ny,ny,48,0.99734,0.01454
dal,dal,42,0.83776,0.0275
bkn,bkn,45,0.9399,0.00108
por,por,36,0.01498,4e-5
okc,okc,39,0.16748,1.8e-4
tor,tor,41,0.49912,0.00684
chi,chi,39,0.1558,5.6e-4
cha,cha,25,0,0
uta,uta,39,0.16818,1.2e-4
gs,gs,42,0.8144,0.05272
cle,cle,51,1,0.03036
hou,hou,21,0,0
lal,lal,41,0.47176,0.01338
phi,phi,55,1,0.19134
mem,mem,51,1,0.12282
no,no,39,0.17896,8.4e-4
lac,lac,43,0.82626,0.0064
sac,sac,49,0.99998,0.00554
orl,orl,33,4.6e-4,0
phx,phx,44,0.96344,0.02832
ind,ind,36,0.01792,2e-5
sa,sa,20,0,0
