TEAM,unit,wins,make_playoffs,win_finals
mil,mil,48,0.9994,0.15884
min,min,25,0.00885,0
mia,mia,33,0.62022,0.00495
wsh,wsh,21,0.01215,0
atl,atl,35,0.72898,0.00465
bos,bos,44,0.9913,0.09164
det,det,21,0.0138,0
den,den,45,0.96235,0.05295
ny,ny,30,0.32308,0
dal,dal,36,0.47412,0.0027
bkn,bkn,42,0.98441,0.05055
por,por,38,0.61767,0.0021
okc,okc,27,0.036,0
tor,tor,39,0.9175,0.0123
chi,chi,27,0.12705,0
cha,cha,29,0.24625,0
uta,uta,51,0.9991,0.12389
gs,gs,33,0.24899,0
cle,cle,25,0.05969,0
hou,hou,36,0.44264,1.5e-4
lal,lal,52,0.99925,0.25829
phi,phi,47,0.9979,0.05564
mem,mem,32,0.19109,0
no,no,35,0.40017,9e-4
lac,lac,49,0.9967,0.1656
sac,sac,32,0.17115,0
orl,orl,28,0.19095,0
phx,phx,43,0.89126,0.0132
ind,ind,36,0.78732,0.00135
sa,sa,38,0.56066,3e-4
