TEAM,unit,wins,make_playoffs,win_finals
mil,mil,49,0.8281,0.04686
min,min,47,0.82314,0.02918
mia,mia,51,0.8746,0.06476
wsh,wsh,32,0.10298,3e-4
atl,atl,51,0.88416,0.05592
bos,bos,57,0.97376,0.20768
det,det,23,0.0081,0
den,den,54,0.95856,0.12682
ny,ny,40,0.42428,0.00408
dal,dal,50,0.90454,0.06268
bkn,bkn,45,0.67926,0.01974
por,por,38,0.39534,0.00358
okc,okc,24,0.0144,0
tor,tor,50,0.86102,0.04926
chi,chi,35,0.1982,0.00122
cha,cha,41,0.45956,0.0059
uta,uta,39,0.40912,0.00138
gs,gs,49,0.86404,0.05664
cle,cle,44,0.64386,0.01674
hou,hou,19,0.00204,0
lal,lal,32,0.16974,9.6e-4
phi,phi,50,0.87214,0.0709
mem,mem,52,0.9376,0.08122
no,no,42,0.57848,0.0074400000000000004
lac,lac,47,0.79892,0.0322
sac,sac,33,0.16508,5.4e-4
orl,orl,23,0.01002,2e-5
phx,phx,49,0.87716,0.05306
ind,ind,35,0.17996,6e-4
sa,sa,30,0.10184,3.2e-4
