TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,0.9991,0.1254
min,min,21,1.5e-4,0
mia,mia,40,0.93041,0.01379
wsh,wsh,27,0.02565,0
atl,atl,36,0.76615,0.0051
bos,bos,41,0.97495,0.0363
det,det,24,0.0042,0
den,den,46,0.9955,0.1098
ny,ny,33,0.32265,0
dal,dal,41,0.87325,0.0045
bkn,bkn,48,0.9994,0.18135
por,por,39,0.74666,0.00345
okc,okc,29,0.04095,0
tor,tor,38,0.87415,0.0183
chi,chi,29,0.0954,0
cha,cha,34,0.41053,0
uta,uta,52,1,0.12134
gs,gs,36,0.46106,1.5e-4
cle,cle,24,0.00405,0
hou,hou,22,6e-4,0
lal,lal,45,0.9931,0.11655
phi,phi,47,0.99955,0.08234
mem,mem,34,0.3168,3e-4
no,no,32,0.20295,4.5e-4
lac,lac,46,0.9949,0.13168
sac,sac,28,0.0234,0
orl,orl,24,0.00705,0
phx,phx,48,0.99775,0.04815
ind,ind,35,0.58676,6e-4
sa,sa,35,0.35293,4.5e-4
