TEAM,unit,wins,make_playoffs,win_finals
mil,mil,49,0.9221,0.04788
min,min,41,0.47984,0.00588
mia,mia,44,0.73642,0.03306
wsh,wsh,38,0.22832,0.0011
atl,atl,41,0.46472,0.00918
bos,bos,57,0.99874,0.21298
det,det,23,4e-5,0
den,den,54,0.99612,0.1167
ny,ny,44,0.68664,0.00988
dal,dal,46,0.89316,0.04032
bkn,bkn,53,0.98982,0.07774
por,por,40,0.42436,0.00298
okc,okc,33,0.0369,0
tor,tor,39,0.2727,0.00352
chi,chi,40,0.32874,0.0018
cha,cha,27,0.00178,0
uta,uta,41,0.52242,0.003
gs,gs,43,0.69852,0.04134
cle,cle,49,0.94506,0.027
hou,hou,20,0,0
lal,lal,40,0.38672,0.00924
phi,phi,49,0.93978,0.0919
mem,mem,55,0.998,0.1898
no,no,48,0.92144,0.02782
lac,lac,41,0.49756,0.00962
sac,sac,40,0.40232,0.00128
orl,orl,27,0.0012,0
phx,phx,43,0.74212,0.0335
ind,ind,42,0.48394,0.00248
sa,sa,26,5.2e-4,0
