TEAM,unit,wins,make_playoffs,win_finals
mil,mil,50,0.97606,0.04718
min,min,40,0.41148,0.0061
mia,mia,46,0.87808,0.0321
wsh,wsh,38,0.24464,7.4e-4
atl,atl,42,0.65106,0.00842
bos,bos,59,0.99998,0.26458
det,det,22,2e-5,0
den,den,55,0.99982,0.13954
ny,ny,42,0.58454,0.0043
dal,dal,44,0.76046,0.02346
bkn,bkn,50,0.9809,0.04628
por,por,38,0.19448,0.0012
okc,okc,39,0.22832,3.8e-4
tor,tor,38,0.22284,0.00152
chi,chi,39,0.29782,0.00136
cha,cha,27,8e-4,0
uta,uta,42,0.552,0.0025
gs,gs,43,0.69668,0.03914
cle,cle,49,0.96438,0.0217
hou,hou,18,0,0
lal,lal,39,0.3055,0.00852
phi,phi,51,0.9878,0.1046
mem,mem,55,0.99932,0.1763
no,no,46,0.86644,0.01866
lac,lac,41,0.52016,0.00838
sac,sac,43,0.64076,0.00264
orl,orl,29,0.00192,0
phx,phx,44,0.82458,0.03994
ind,ind,38,0.20916,4.6e-4
sa,sa,24,0,0
