TEAM,unit,wins,make_playoffs,win_finals
mil,mil,59,1,0.23622
min,min,42,0.7118,0.0184
mia,mia,43,0.83124,0.0096
wsh,wsh,38,0.12612,2e-4
atl,atl,41,0.51222,0.00124
bos,bos,56,1,0.15746
det,det,19,0,0
den,den,55,1,0.12446
ny,ny,47,0.98924,0.01154
dal,dal,42,0.61636,0.01788
bkn,bkn,47,0.97464,0.00254
por,por,37,0.03538,1.6e-4
okc,okc,39,0.10962,1.2e-4
tor,tor,40,0.37492,0.00486
chi,chi,38,0.173,5.6e-4
cha,cha,26,0,0
uta,uta,38,0.0643,2e-5
gs,gs,44,0.88998,0.0905
cle,cle,51,0.99986,0.03302
hou,hou,19,0,0
lal,lal,41,0.49124,0.01294
phi,phi,54,1,0.12128
mem,mem,51,0.99994,0.1167
no,no,41,0.37974,0.00228
lac,lac,43,0.7662,0.00576
sac,sac,47,0.99042,0.00234
orl,orl,33,0.00132,0
phx,phx,45,0.94502,0.02992
ind,ind,36,0.01744,0
sa,sa,20,0,0
