c_losses,c_wins,conference,current_losses,current_wins,division,draft_pick_1,draft_pick_2,draft_pick_3,elo,f_losses,f_wins,losses,make_conf_finals,make_conf_semis,make_finals,make_playoffs,name,playoff_losses,playoff_wins,point_diff,q_losses,q_wins,rating,rating_fs,rating_playoff,s_losses,s_wins,seed_1,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,win_finals,winpct,wins,eliminated,elo_change,rating_change
0,0,Western,39,43,Western Pacific,0,0,0,1602.51869999991,0,0,39,0.4337,1,0.18659,1,LAL,3,6,76,2,4,1623.41323883328,1608.03022379243,1645.71514123488,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06032,0.524390243902419,43,FALSE,-5,-24
0,0,Eastern,28,54,Eastern Atlantic,0,0,0,1640.47199999984,0,0,28,0.22142,1,0.1627,1,PHI,2,5,357,0,4,1675.65479559827,1669.69800298595,1695.1465711893,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.09956,0.658536585365825,54,FALSE,-21,-20
0,0,Western,31,51,Western Southwest,0,0,0,1568.28210000005,0,0,31,0,0,0,1,MEM,4,2,278,4,2,1618.75883129988,1650.14123002441,1671.1727918319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.621951219512112,51,TRUE,0,-1
0,0,Western,40,42,Western Southwest,0,0,0,1529.81619999993,0,0,40,0,0,0,0,NO,1,0,150,0,0,1576.13362858632,1565.6583496818,1576.13362858632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512195121951209,42,TRUE,0,-1
0,0,Western,38,44,Western Pacific,0,0,0,1523.61859999985,0,0,38,0,0,0,1,LAC,4,1,9,4,1,1578.05676336569,1555.05515508611,1578.05676336569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.536585365853631,44,TRUE,0,136
0,0,Western,34,48,Western Pacific,0,0,0,1537.08739999996,0,0,34,0,0,0,1,SAC,4,3,202,4,3,1528.06345587615,1523.0942462582,1528.06345587615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.585365853658483,48,TRUE,-21,-10
0,0,Eastern,48,34,Eastern Southeast,0,0,0,1448.47119999989,0,0,48,0,0,0,0,ORL,0,0,-210,0,0,1437.40177795542,1434.87777949875,1436.24299832911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.414634146341507,34,TRUE,0,-1
0,0,Western,37,45,Western Pacific,0,0,0,1587.95629999987,0,0,37,0.20535,1,0.08743,1,PHX,3,5,181,1,4,1622.36887986843,1605.53014390185,1628.90807807946,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02628,0.548780487804841,45,FALSE,-12,-21
0,0,Eastern,47,35,Eastern Central,0,0,0,1399.74600000002,0,0,47,0,0,0,0,IND,0,0,-261,0,0,1460.63000291027,1447.20787544176,1460.63000291027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426829268292718,35,TRUE,0,1
0,0,Western,60,22,Western Southwest,0,0,0,1329.73139999994,0,0,60,0,0,0,0,SA,0,0,-823,0,0,1355.55851570638,1352.05437809618,1355.55851570638,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.268292682926816,22,TRUE,0,-1
