TEAM,unit,wins,make_playoffs,win_finals
mil,mil,50,0.9733,0.16416
min,min,45,0.87368,0.00608
mia,mia,51,0.9885,0.07872
wsh,wsh,37,0.04932,2e-5
atl,atl,44,0.61934,0.01226
bos,bos,46,0.8405,0.06516
det,det,19,0,0
den,den,48,0.9752,0.04694
ny,ny,36,0.02708,6e-5
dal,dal,47,0.95436,0.02382
bkn,bkn,46,0.84608,0.05494
por,por,36,0.15276,0.00168
okc,okc,23,1e-4,0
tor,tor,44,0.66126,0.00648
chi,chi,47,0.85416,0.00836
cha,cha,43,0.44154,8.2e-4
uta,uta,51,0.99628,0.12098
gs,gs,57,0.99992,0.06002
cle,cle,46,0.71826,0.00116
hou,hou,23,2e-5,0
lal,lal,37,0.2465,0.00258
phi,phi,50,0.9763,0.0701
mem,mem,54,0.99954,0.0487
no,no,34,0.08518,4.4e-4
lac,lac,41,0.68426,0.0426
sac,sac,28,0.0019,0
orl,orl,21,0,0
phx,phx,62,1,0.18384
ind,ind,33,0.00436,8e-5
sa,sa,32,0.0303,0
