TEAM,unit,wins,make_playoffs,win_finals
mil,mil,56,0.99994,0.13936
min,min,43,0.7449,0.0211
mia,mia,45,0.83922,0.01562
wsh,wsh,39,0.29192,6.6e-4
atl,atl,41,0.50302,0.0039
bos,bos,57,1,0.25058
det,det,22,0,0
den,den,56,1,0.17063999999999999
ny,ny,45,0.8481,0.00698
dal,dal,45,0.93372,0.06364
bkn,bkn,45,0.89518,0.00272
por,por,38,0.15708,3e-4
okc,okc,37,0.0758,4e-5
tor,tor,41,0.47936,0.00906
chi,chi,37,0.12418,6.4e-4
cha,cha,26,0,0
uta,uta,39,0.1969,6e-5
gs,gs,43,0.75054,0.04824
cle,cle,51,0.99814,0.04574
hou,hou,18,0,0
lal,lal,40,0.319,0.01376
phi,phi,51,0.9975,0.0752
mem,mem,51,0.9969,0.09376
no,no,42,0.57422,0.00302
lac,lac,44,0.7583,0.01116
sac,sac,43,0.59698,7e-4
orl,orl,33,0.0075,0
phx,phx,45,0.89566,0.02312
ind,ind,34,0.01594,0
sa,sa,20,0,0
