TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,0.99974,0.178
min,min,47,0.92386,0.00686
mia,mia,54,1,0.074
wsh,wsh,34,2.2e-4,0
atl,atl,42,0.41774,0.0016
bos,bos,50,0.99966,0.2201
det,det,23,0,0
den,den,50,0.99336,0.11932
ny,ny,36,0.00732,0
dal,dal,51,0.9928,0.02006
bkn,bkn,43,0.64742,0.01102
por,por,31,0.01322,0
okc,okc,23,0,0
tor,tor,47,0.94306,0.00236
chi,chi,47,0.95118,0.0021
cha,cha,41,0.24314,1e-4
uta,uta,51,0.99812,0.05292
gs,gs,53,0.99896,0.01902
cle,cle,45,0.79108,1.2e-4
hou,hou,21,0,0
lal,lal,33,0.05978,6e-5
phi,phi,51,0.99944,0.05156
mem,mem,55,1,0.04996
no,no,35,0.26058,0.00102
lac,lac,40,0.71246,0.00796
sac,sac,29,0.00384,0
orl,orl,22,0,0
phx,phx,63,1,0.18186
ind,ind,28,0,0
sa,sa,32,0.04302,0
