TEAM,unit,wins,make_playoffs,win_finals
mil,mil,47,1,0.10425
min,min,20,0,0
mia,mia,38,0.9433,0.01214
wsh,wsh,26,0.00585,0
atl,atl,39,0.9553,0.00405
bos,bos,39,0.9724,0.0183
det,det,22,0,0
den,den,47,0.99955,0.13049
ny,ny,33,0.35998,0
dal,dal,43,0.955,0.00735
bkn,bkn,48,1,0.17834
por,por,42,0.93972,0.0033
okc,okc,26,0.00135,0
tor,tor,32,0.40287,0.00135
chi,chi,29,0.07725,0
cha,cha,36,0.68741,1.5e-4
uta,uta,55,1,0.14174
gs,gs,33,0.19273,0
cle,cle,24,9e-4,0
hou,hou,18,0,0
lal,lal,44,0.9889,0.0828
phi,phi,48,1,0.0915
mem,mem,36,0.42762,1.5e-4
no,no,33,0.27899,6e-4
lac,lac,48,0.99955,0.1743
sac,sac,32,0.09945,0
orl,orl,25,0.0051,0
phx,phx,49,0.99985,0.04919
ind,ind,35,0.58964,0
sa,sa,33,0.11729,0
