TEAM,unit,wins,make_playoffs,win_finals
mil,mil,56,0.99996,0.13886
min,min,43,0.72984,0.02084
mia,mia,45,0.87642,0.01632
wsh,wsh,39,0.22704,5.6e-4
atl,atl,42,0.57712,0.0035
bos,bos,58,1,0.24608
det,det,22,0,0
den,den,56,1,0.15178
ny,ny,44,0.77598,0.00598
dal,dal,46,0.9561,0.09886
bkn,bkn,45,0.88518,0.0044
por,por,39,0.17048,2.8e-4
okc,okc,37,0.053,2e-5
tor,tor,41,0.49364,0.00894
chi,chi,38,0.14996,6.8e-4
cha,cha,25,0,0
uta,uta,39,0.18878,1.4e-4
gs,gs,43,0.74202,0.04582
cle,cle,51,0.99804,0.04056
hou,hou,19,0,0
lal,lal,40,0.34358,0.0217
phi,phi,51,0.99586,0.06828
mem,mem,50,0.99312,0.07818
no,no,43,0.62224,0.0038
lac,lac,43,0.67362,0.0091
sac,sac,43,0.63308,8.8e-4
orl,orl,33,0.00884,2e-5
phx,phx,45,0.89414,0.03442
ind,ind,34,0.01196,0
sa,sa,21,0,0
