TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,0.99744,0.0768
min,min,42,0.49326,0.00808
mia,mia,45,0.86344,0.02866
wsh,wsh,41,0.42704,0.00242
atl,atl,42,0.63586,0.01092
bos,bos,58,0.99996,0.2873
det,det,22,2e-5,0
den,den,56,0.99996,0.1705
ny,ny,42,0.55276,0.00298
dal,dal,44,0.79216,0.03186
bkn,bkn,49,0.96988,0.03794
por,por,40,0.3192,0.00288
okc,okc,37,0.096560000000000007,3e-4
tor,tor,39,0.26084,0.0028
chi,chi,39,0.24008,9e-4
cha,cha,27,1.6e-4,0
uta,uta,43,0.6185,0.00496
gs,gs,43,0.70772,0.03792
cle,cle,48,0.96714,0.02694
hou,hou,20,0,0
lal,lal,40,0.29948,0.0061
phi,phi,51,0.9881,0.08962
mem,mem,51,0.99356,0.11134
no,no,42,0.55882,0.00846
lac,lac,43,0.70374,0.01798
sac,sac,44,0.71636,0.0037200000000000002
orl,orl,30,0.0018600000000000001,0
phx,phx,43,0.70068,0.02848
ind,ind,37,0.09542,1.4e-4
sa,sa,22,0,0
