TEAM,unit,wins,make_playoffs,win_finals
mil,mil,47,0.9994,0.16394
min,min,25,0.00795,0
mia,mia,34,0.71531,0.00884
wsh,wsh,21,0.01005,0
atl,atl,31,0.49437,0.0021
bos,bos,42,0.9811,0.07124
det,det,23,0.02925,0
den,den,46,0.9826,0.0639
ny,ny,31,0.37514,1.5e-4
dal,dal,36,0.48521,0.0015
bkn,bkn,43,0.9919,0.06165
por,por,41,0.80772,0.0021
okc,okc,28,0.04455,0
tor,tor,39,0.9382,0.01409
chi,chi,27,0.0957,0
cha,cha,30,0.26549,0
uta,uta,53,0.9997,0.16665
gs,gs,34,0.27404,3e-4
cle,cle,24,0.0246,0
hou,hou,33,0.19815,1.5e-4
lal,lal,52,1,0.1818
phi,phi,46,0.9979,0.0456
mem,mem,33,0.23234,0
no,no,34,0.29953,9e-4
lac,lac,50,0.99865,0.20024
sac,sac,29,0.06194,0
orl,orl,29,0.22274,1.5e-4
phx,phx,44,0.952,0.012
ind,ind,37,0.85885,0.00195
sa,sa,39,0.65562,7.5e-4
