TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,1,0.074765
min,min,23,0,0
mia,mia,40,1,0
wsh,wsh,34,1,0
atl,atl,41,1,0.027605
bos,bos,36,1,1.85e-4
det,det,20,0,0
den,den,47,1,0.02895
ny,ny,41,1,1e-5
dal,dal,42,1,0.00242
bkn,bkn,48,1,0.17085
por,por,42,1,0.011935
okc,okc,22,0,0
tor,tor,27,0,0
chi,chi,31,0,0
cha,cha,33,0,0
uta,uta,52,1,0.23091
gs,gs,39,0,0
cle,cle,22,0,0
hou,hou,17,0,0
lal,lal,42,1,0.059435
phi,phi,49,1,0.157125
mem,mem,38,1,3e-5
no,no,31,0,0
lac,lac,47,1,0.195365
sac,sac,31,0,0
orl,orl,21,0,0
phx,phx,51,1,0.040415
ind,ind,34,0,0
sa,sa,33,0,0
