TEAM,unit,wins,make_playoffs,win_finals
mil,mil,59,1,0.14356
min,min,41,0.49666,0.00808
mia,mia,43,0.84066,0.00588
wsh,wsh,36,0,0
atl,atl,41,0.38046,8.6e-4
bos,bos,57,1,0.27164
det,det,17,0,0
den,den,54,1,0.14212
ny,ny,48,1,0.01548
dal,dal,39,0.06522,7.6e-4
bkn,bkn,45,0.99486,0.0018
por,por,34,0,0
okc,okc,39,0.04912,0
tor,tor,41,0.49176,0.00714
chi,chi,40,0.29224,0.00112
cha,cha,27,0,0
uta,uta,37,0.00174,0
gs,gs,43,0.90576,0.03662
cle,cle,51,1,0.0296
hou,hou,20,0,0
lal,lal,43,0.87338,0.02434
phi,phi,53,1,0.12148
mem,mem,51,1,0.13646
no,no,42,0.7475,0.00976
lac,lac,43,0.8608,0.00586
sac,sac,48,1,0.00386
orl,orl,35,2e-5,0
phx,phx,46,0.99982,0.03358
ind,ind,35,0,0
sa,sa,21,0,0
