TEAM,unit,wins,make_playoffs,win_finals
mil,mil,49,0.98444,0.12306
min,min,45,0.9115,0.00306
mia,mia,54,0.99958,0.09434
wsh,wsh,36,0.01542,0
atl,atl,42,0.48744,0.002
bos,bos,50,0.99518,0.22594
det,det,20,0,0
den,den,50,0.9922,0.10738
ny,ny,35,0.0112,0
dal,dal,48,0.98112,0.01412
bkn,bkn,43,0.59334,0.00742
por,por,32,0.02016,0
okc,okc,24,0,0
tor,tor,46,0.86672,0.00328
chi,chi,49,0.97414,0.00548
cha,cha,40,0.20986,1e-4
uta,uta,51,0.99882,0.07436
gs,gs,55,0.99988,0.03786
cle,cle,47,0.87016,5.2e-4
hou,hou,22,0,0
lal,lal,36,0.19854,4.4e-4
phi,phi,50,0.99244,0.07016
mem,mem,54,0.99992,0.0411
no,no,34,0.14232,4e-4
lac,lac,40,0.66634,0.00572
sac,sac,30,0.01112,0
orl,orl,20,0,0
phx,phx,64,1,0.18324
ind,ind,30,8e-5,0
sa,sa,33,0.07808,2e-5
