TEAM,unit,wins,make_playoffs,win_finals
mil,mil,51,0.9994,0.18166
min,min,47,0.9195,0.0059
mia,mia,54,1,0.08792
wsh,wsh,35,0.00496,0
atl,atl,42,0.50772,0.00178
bos,bos,50,0.9996,0.19714
det,det,23,0,0
den,den,50,0.99252,0.13204
ny,ny,36,0.02464,2e-5
dal,dal,49,0.98314,0.01434
bkn,bkn,43,0.68668,0.00606
por,por,31,0.00786,0
okc,okc,24,0,0
tor,tor,44,0.76324,0.00106
chi,chi,47,0.96954,0.0035
cha,cha,39,0.14924,4e-5
uta,uta,52,0.9991,0.06862
gs,gs,54,0.99962,0.02604
cle,cle,46,0.89638,2.8e-4
hou,hou,22,0,0
lal,lal,34,0.07356,1.4e-4
phi,phi,51,0.9986,0.05888
mem,mem,54,0.9999,0.03946
no,no,35,0.27706,0.00154
lac,lac,41,0.70332,0.00666
sac,sac,29,0.00304,0
orl,orl,23,0,0
phx,phx,63,1,0.16692
ind,ind,28,0,0
sa,sa,32,0.04138,0
