TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.19698
min,min,42,0.59726,0.01012
mia,mia,43,0.74954,0.01016
wsh,wsh,41,0.38646,0.001
atl,atl,42,0.53118,0.00394
bos,bos,58,1,0.17896
det,det,20,0,0
den,den,57,1,0.20974
ny,ny,47,0.97704,0.01246
dal,dal,44,0.87512,0.0362
bkn,bkn,44,0.79672,0.00156
por,por,37,0.0758,1.4e-4
okc,okc,36,0.01916,2e-5
tor,tor,40,0.39886,0.00486
chi,chi,38,0.14434,5.4e-4
cha,cha,27,0,0
uta,uta,39,0.14214,2e-5
gs,gs,44,0.86522,0.07802
cle,cle,50,0.99778,0.0317
hou,hou,17,0,0
lal,lal,41,0.51712,0.01718
phi,phi,51,0.99924,0.07328
mem,mem,51,0.9995,0.10118
no,no,41,0.45846,0.00142
lac,lac,42,0.60368,0.00536
sac,sac,46,0.91652,0.0018600000000000001
orl,orl,34,0.00328,2e-5
phx,phx,45,0.93002,0.02324
ind,ind,35,0.01556,4e-5
sa,sa,21,0,0
