TEAM,unit,wins,make_playoffs,win_finals
mil,mil,53,0.99856,0.06888
min,min,40,0.37018,0.00578
mia,mia,45,0.84354,0.02362
wsh,wsh,40,0.32588,0.00174
atl,atl,43,0.69422,0.01144
bos,bos,57,0.99996,0.27254
det,det,22,0,0
den,den,56,0.99996,0.18482
ny,ny,41,0.48828,0.0023
dal,dal,44,0.76554,0.03172
bkn,bkn,49,0.9834,0.03986
por,por,40,0.34762,0.0033
okc,okc,37,0.10954,1.8e-4
tor,tor,39,0.30084,0.00338
chi,chi,39,0.27202,0.0015
cha,cha,27,2e-5,0
uta,uta,42,0.51898,0.00262
gs,gs,43,0.7392,0.03358
cle,cle,48,0.97052,0.02736
hou,hou,19,0,0
lal,lal,39,0.26662,0.0047
phi,phi,51,0.9921,0.09992
mem,mem,51,0.99414,0.10934
no,no,42,0.6049,0.00846
lac,lac,44,0.7844,0.02072
sac,sac,43,0.66636,0.00304
orl,orl,32,0.0046,2e-5
phx,phx,44,0.83256,0.03898
ind,ind,37,0.12606,2e-4
sa,sa,21,0,0
