TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,1,0.17434
min,min,41,0.55394,0.012
mia,mia,44,0.8132,0.01836
wsh,wsh,40,0.29182,9e-4
atl,atl,42,0.57182,0.00434
bos,bos,57,1,0.19502
det,det,21,0,0
den,den,57,1,0.23222
ny,ny,45,0.89278,0.00762
dal,dal,45,0.92612,0.05532
bkn,bkn,45,0.85378,0.00312
por,por,38,0.11858,2.6e-4
okc,okc,38,0.08198,2e-5
tor,tor,41,0.44868,0.00852
chi,chi,37,0.11602,4e-4
cha,cha,27,0,0
uta,uta,39,0.21196,1.6e-4
gs,gs,42,0.6861,0.04078
cle,cle,50,0.99538,0.03052
hou,hou,18,0,0
lal,lal,40,0.39008,0.0133
phi,phi,52,0.99894,0.07804
mem,mem,50,0.99698,0.0832
no,no,42,0.551,0.00288
lac,lac,44,0.79316,0.01152
sac,sac,44,0.7871,0.00148
orl,orl,34,0.00678,2e-5
phx,phx,45,0.903,0.02566
ind,ind,34,0.0108,0
sa,sa,19,0,0
