Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,11.97002425,8.381019856,—,98.83110403,53.48994249,35.48047634
Thunder,West,8.042024348,4.34368571,—,98.97219846,16.73353356,7.495485741
Pelicans,West,6.768515101,3.629661589,—,98.22219846,6.61535049,2.835337668
T-Wolves,West,6.127974333,4.259231153,—,98.97219846,13.29088535,4.947178588
Nuggets,West,4.83917535,6.134197285,—,98.97219846,32.60900711,17.2682858
Suns,West,4.178714314,2.798371204,—,79.88059277,6.819815284,2.497178588
Cavaliers,East,4.086997936,3.322463974,—,98.83110403,8.567904504,3.770675337
Bucks,East,4.04482756,3.227720374,—,98.83110403,15.27446632,6.633210131
Clippers,West,3.426306608,1.782538237,—,98.72219846,12.94953821,5.783210131
Knicks,East,3.090541503,3.262008952,—,98.63110403,7.667904504,3.23330503
Mavericks,West,2.8491096,1.089092083,—,94.05511531,4.774531208,1.870675337
Pacers,East,2.729951973,-0.584720619,—,93.00582266,1.508485462,0.546547819
Warriors,West,2.324551532,2.168380173,—,25.35339118,1.91535049,0.885337668
Magic,East,1.804378056,0.227792123,—,97.53110403,1.583492659,0.317060901
Heat,East,1.357595741,2.817928698,—,93.83110403,5.554355713,2.105760941
Kings,West,0.660837485,0.311853389,—,60.4516311,1.445450355,0.446547819
Rockets,West,0.139277881,-2.389837661,—,1.610239378,0.171784734,0.055835268
Lakers,West,0.136792251,2.048473029,100,44.78799879,2.674718725,1.105760941
Bulls,East,0.087660161,-0.473983244,—,19.8634177,0.267750033,0.105835268
Hawks,East,-1.964798995,-0.941448095,—,16.96686207,0.217750033,0.055835268
76ers,East,-2.339438165,2.943422554,—,83.67722457,5.867904504,2.560383941
Jazz,West,-3.444493594,-4.997284971,—,—,—,—
Spurs,West,-4.710015119,-8.730874135,—,—,—,—
Nets,East,-4.739915539,-3.1794702,—,<0.1,<0.1,<0.1
Raptors,East,-6.610694885,-3.501492028,—,—,—,—
Pistons,East,-6.919190718,-8.91344819,—,—,—,—
Grizzlies,West,-7.810404837,-4.491321493,—,—,—,—
Wizards,East,-8.815557567,-7.661024677,—,—,—,—
Blazers,West,-9.654785666,-10.01285253,—,—,—,—
Hornets,East,-10.88805831,-9.500322798,—,—,—,—
