Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.1125525,8.172147572,—,98.87772647,52.16917672,32.35305404,Boston Celtics,bos,0.9887772646999999,0.3235305404
Thunder,West,7.750623828,4.157839858,—,98.57746477,14.9302919,6.312888646,Oklahoma City Thunder,okc,0.9857746477,0.06312888646
Pelicans,West,7.349566557,3.378688423,—,98.45746477,6.769434877,2.437238984,New Orleans Pelicans,no,0.9845746477,0.024372389839999998
T-Wolves,West,6.514413858,3.878168858,—,98.57746477,12.16096009,4.934477967,Minnesota Timberwolves,min,0.9857746477,0.049344779670000005
Cavaliers,East,5.926290599,4.23905865,—,98.87772647,11.09384748,5.151650655,Cleveland Cavaliers,cle,0.9887772646999999,0.05151650655
Clippers,West,4.854725563,2.124709074,—,98.50746477,15.4287787,7.600426602,LA Clippers,lac,0.9850746477,0.07600426602
Bucks,East,4.440464407,3.175389421,—,98.87772647,16.05789927,6.997221614,Milwaukee Bucks,mil,0.9887772646999999,0.06997221614
Nuggets,West,4.200959592,5.8740346,—,98.57746477,33.67430635,18.48799339,Denver Nuggets,den,0.9857746477,0.1848799339
Knicks,East,2.65547067,3.137931025,—,98.62772647,8.394168103,3.406702352,New York Knicks,ny,0.9862772647,0.034067023519999996
Suns,West,2.392884179,2.435953542,—,73.87184161,6.322043744,2.392310917,Phoenix Suns,phx,0.7387184161,0.02392310917
Pacers,East,2.277563992,-1.438060849,—,87.42741433,1.060893165,0.4075849,Indiana Pacers,ind,0.8742741433000001,0.004075849
Mavericks,West,1.941880861,-0.238447148,—,83.68529017,3.760891513,1.364477967,Dallas Mavericks,dal,0.8368529017,0.013644779670000001
Warriors,West,1.503361674,1.942052883,—,32.36053423,2.125072976,1.214299411,Golden State Warriors,gs,0.3236053423,0.012142994110000001
Magic,East,1.135668496,0.04095287,—,98.05772647,1.342970468,0.419822715,Orlando Magic,orl,0.9805772647000001,0.00419822715
Kings,West,1.011178905,0.81312131,—,80.75191326,2.469802136,0.749231764,Sacramento Kings,sac,0.8075191326,0.00749231764
Bulls,East,0.456063578,-0.004836591,—,27.79036903,0.294586944,0.096002361,Chicago Bulls,chi,0.2779036903,9.600236099999999e-4
Lakers,West,0.141359526,1.858813797,100,34.37055852,2.246637282,1.178087742,Los Angeles Lakers,lal,0.34370558520000005,0.01178087742
Rockets,West,0.105298539,-3.549650486,—,2.2624995,0.111745476,<0.1,Houston Rockets,hou,0.022624995000000002,0.001
Heat,East,0.09265309,2.524065313,—,92.77772647,4.729445402,2.031650655,Miami Heat,mia,0.9277772647,0.02031650655
76ers,East,-0.28512371,2.991301997,—,82.62144687,4.692381773,2.346783498,Philadelphia 76ers,phi,0.8262144687,0.02346783498
Jazz,West,-2.898797138,-4.147636433,—,<0.1,<0.1,<0.1,Utah Jazz,uta,0.001,0.001
Hawks,East,-3.496289288,-1.037879641,—,15.72436208,0.164586944,0.076002361,Atlanta Hawks,atl,0.1572436208,7.6002361e-4
Nets,East,-4.212889228,-3.209118548,—,0.340009776,<0.1,<0.1,Brooklyn Nets,bkn,0.00340009776,0.001
Spurs,West,-5.470026489,-9.323469627,—,0,—,0,San Antonio Spurs,sa,0,0
Raptors,East,-5.574468017,-2.536351122,—,<0.1,<0.1,<0.1,Toronto Raptors,tor,0.001,0.001
Pistons,East,-7.35438293,-8.809433141,—,0,—,0,Detroit Pistons,det,0,0
Grizzlies,West,-7.760955278,-3.983276947,—,0,—,0,Memphis Grizzlies,mem,0,0
Blazers,West,-8.855520449,-8.892982773,—,0,—,0,Portland Trail Blazers,por,0,0
Wizards,East,-9.610006943,-7.357364765,—,0,—,0,Washington Wizards,wsh,0,0
Hornets,East,-10.78765394,-8.854533165,—,<0.1,<0.1,<0.1,Charlotte Hornets,cha,0.001,0.001
