Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,8.768971419,6.954218855,—,97.39365626,38.71991142,24.49827342
76ers,East,6.937396865,5.14091079,—,96.76413134,18.65073516,10.25211782
Nuggets,West,4.862105892,5.055861558,—,96.60047815,32.27652235,17.37677701
T-Wolves,West,4.053451197,1.334710152,—,95.07350756,9.292405959,3.425355402
Lakers,West,3.592282698,2.082385022,100,83.1913735,9.982749667,4.291257108
Bucks,East,3.467760908,2.510977847,—,96.28748915,19.31277806,9.739978715
Cavaliers,East,3.411794244,3.556924513,—,93.12772759,7.314432142,3.824526031
Warriors,West,3.117636462,1.679072743,—,70.54304973,7.382405959,2.990168916
Thunder,West,2.794400576,0.576021571,—,87.18795988,6.2579247670000004,1.785084458
Knicks,East,2.632431278,2.825374982,—,85.19950626,5.183991142,2.775827342
Suns,West,2.54782194,1.011065327,—,81.06796464,13.62582232,6.451184675
Heat,East,2.242148379,2.090822875,—,81.59398453,4.668409398,2.080847127
Pelicans,West,1.766503526,1.058153525,—,60.04542916,4.62475486,1.462522706
Clippers,West,1.732254978,-0.372674147,—,62.25953008,4.377605501,1.68302855
Kings,West,1.525450006,0.85627709,—,74.01224969,5.509304469,1.795240137
Bulls,East,0.566566644,-0.08926334,—,23.32165521,0.566196517,0.26275471
Mavericks,West,0.29844609,0.473961898,—,65.23013067,5.332062251,2.206924466
Hawks,East,0.221003009,0.37563365,—,36.25893481,1.165093697,0.562216684
Nets,East,0.14100051,1.126711668,—,49.51872392,1.386730481,0.553871013
Magic,East,-0.221209625,-1.73377213,—,71.70694342,1.335122527,0.308595559
Raptors,East,-0.437373076,-0.601468946,—,20.20323435,0.436196517,0.21275471
Grizzlies,West,-1.618876021,0.120242588,—,4.851313235,0.41620605,0.337815916
Pacers,East,-2.207396189,-3.437626,—,43.93793816,1.002320432,0.513998581
Rockets,West,-4.074651201,-6.92618725,—,15.95818217,0.603786923,0.317815916
Hornets,East,-6.255601246,-6.058534969,—,3.508059851,0.086027502,<0.1
Wizards,East,-6.615740472,-3.600203438,—,0.58900758,0.086027502,<0.1
Jazz,West,-6.877128239,-3.571018086,—,2.802481349,0.14731571,0.083101567
Pistons,East,-9.612208596,-8.586643049,—,0.58900758,0.086027502,<0.1
Blazers,West,-10.23217729,-5.94417995,—,0.588175098,0.08556661,<0.1
Spurs,West,-11.51829159,-10.53632933,—,0.588175098,0.08556661,<0.1
