Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Thunder,West,9.481990491,3.977219027,—,98.36232962,15.26142567,6.078802568
Celtics,East,9.480243789,7.485263029,—,97.61037957,46.63413972,30.38783842
T-Wolves,West,6.862863415,3.698167965,—,98.36232962,13.48864402,5.321202782
Cavaliers,East,6.259446178,4.478493738,—,97.60037957,13.83349864,6.568802568
Pelicans,West,6.186189224,2.282616666,—,87.09079418,5.047810263,1.837658335
Clippers,West,5.14078237,2.179052268,—,98.34232962,17.24356416,8.414811128
Bucks,East,4.496540441,2.589970178,—,97.53037957,16.0202666,7.157848903
Knicks,East,2.933696596,3.0381562,—,96.64037957,9.089442937,3.797675762
Suns,West,2.84123744,2.075074821,—,79.02343368,7.360235351,3.573924451
Nuggets,West,2.136761523,5.783887701,—,98.29232962,29.60810263,15.72979014
Lakers,West,2.025497441,1.791654111,100,44.95926517,2.687810263,1.25997778
76ers,East,1.662777438,3.519073547,—,94.29037957,6.361841391,3.182544089
Pacers,East,1.132536558,-2.027972004,—,86.79922028,1.596718326,0.478998681
Heat,East,1.102867556,1.289319788,—,91.5789991,4.313436652,1.49067132
Kings,West,1.063689784,0.78380174,—,79.76188943,2.807810263,0.947194537
Magic,East,0.81161383,-0.767029676,—,87.86606632,1.004008887,0.361406086
Mavericks,West,0.408333764,-0.257555301,—,71.56736961,3.61814121,1.43496667
Bulls,East,0.192444806,0.674005512,—,29.39296831,0.517586997,0.244132112
Warriors,West,0.180990924,1.840374223,—,38.89242419,2.670526876,1.326455859
Rockets,West,-0.573347171,-5.138670152,—,2.490089973,0.120030993,0.055005149
Jazz,West,-2.250947169,-3.372739093,—,2.855386278,0.085872491,0.084132112
Raptors,East,-3.082812443,-1.056453443,—,1.790498182,0.097295382,0.051267599
Nets,East,-3.59687781,-2.342627543,—,5.060763904,0.15029205,<0.1
Hawks,East,-3.691054654,-0.831868237,—,13.83955747,0.381446169,0.171406086
Grizzlies,West,-5.696171021,-2.211472749,—,<0.1,<0.1,<0.1
Spurs,West,-8.209387928,-10.16505601,—,<0.1,<0.1,<0.1
Pistons,East,-8.89259243,-8.88540088,—,<0.1,<0.1,<0.1
Wizards,East,-9.098137275,-5.946263465,—,<0.1,<0.1,<0.1
Blazers,West,-9.714902309,-8.51971686,—,<0.1,<0.1,<0.1
Hornets,East,-9.948357619,-7.99133513,—,<0.1,<0.1,<0.1
