Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,8.571176062,7.114913836,—,97.76828062,39.03311623,24.54197869
76ers,East,8.149850877,5.631740828,—,97.14385865,20.4650447,11.80915332
Nuggets,West,5.306304745,5.342556759,—,96.69103764,33.80518136,17.78745996
T-Wolves,West,4.899705711,1.740610732,—,95.36708941,10.10800566,3.797604537
Bucks,East,3.283839782,2.070629865,—,96.86842868,18.67010566,8.888759227
Warriors,West,3.166768664,1.421180032,—,57.94733705,5.329371695,2.205396769
Cavaliers,East,3.105556657,3.277195507,—,88.82517105,6.523210587,3.01320217
Lakers,West,3.005955545,1.856129708,100,75.99841754,8.288005656,3.532489464
Knicks,East,2.801904594,2.744402942,—,85.63046638,4.77240794,2.43320217
Thunder,West,2.603313177,0.955858004,—,88.06157495,6.939147301,2.13320217
Heat,East,2.516306957,2.084974987,—,84.35928663,4.636725819,2.218449995
Pelicans,West,2.488793161,1.35128198,—,69.34144468,5.984002828,2.003562292
Clippers,West,2.344739516,0.04139854,—,74.70320307,5.668005656,2.542489464
Suns,West,2.14961922,0.982772097,—,74.68716702,12.61757615,6.098306643
Kings,West,1.361522811,0.956997322,—,74.57994838,5.232827189,1.810467563
Nets,East,1.34443307,1.212577366,—,60.8323777,1.546475434,0.712113504
Hawks,East,0.314058628,0.599281588,—,37.86731674,0.989144108,0.526804949
Mavericks,West,-0.367716008,0.329132577,—,62.00841754,4.722927863,1.767403565
Bulls,East,-0.456980391,0.354086941,—,19.04594129,0.507502401,0.220486721
Magic,East,-0.641508329,-1.610030844,—,69.77680356,1.395068063,0.35520062
Raptors,East,-0.668366636,-0.848637098,—,19.76006125,0.419709825,0.180486721
Grizzlies,West,-2.196253854,-0.183568155,—,3.520518237,0.351636878,0.31364351
Pacers,East,-2.455918356,-3.702616924,—,37.63400545,0.782460546,0.507250615
Rockets,West,-2.637246585,-6.490788432,—,23.65534755,0.599268482,0.31364351
Jazz,West,-6.741437035,-3.696131018,—,2.498476211,0.184190746,0.082010578
Wizards,East,-6.891782056,-3.63172187,—,0.476106295,0.086342895,<0.1
Hornets,East,-7.590115454,-6.555854479,—,3.535789399,0.086342895,<0.1
Pistons,East,-10.57602964,-9.118988814,—,0.476106295,0.086342895,<0.1
Blazers,West,-10.58531021,-5.844762922,—,0.470010376,0.084926272,<0.1
Spurs,West,-10.81672756,-10.92458164,—,0.470010376,0.084926272,<0.1
