Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,11.4602565,8.49889935,—,100,62.3202979,40.73784356
Nuggets,West,4.717314655,6.280535975,—,100,37.22422181,19.9021149
Thunder,West,8.132715836,6.080228718,—,100,30.29531383,14.36160124
T-Wolves,West,7.604160156,5.66793863,—,100,20.01480068,9.186601241
Heat,East,1.894729538,3.554586659,—,100,2.873928149,0.886380333
76ers,East,-0.269794836,2.897553224,—,100,6.637273681,2.140518049
Knicks,East,3.195250124,2.42879113,—,100,11.99954736,3.840422981
Pelicans,West,4.321241584,2.358945752,—,100,0.26401885,0.067984629
Lakers,West,1.999107885,2.327922299,100,100,0.666568749,0.25392234
Bucks,East,1.665451181,1.987787298,—,100,3.825382314,1.155370716
Suns,West,4.127799321,1.853495802,—,100,0.440446135,0.13404241
Warriors,West,2.538920547,1.628780967,—,—,—,—
Clippers,West,2.062532554,1.357388406,—,100,2.733268484,1.068678699
Cavaliers,East,2.437470887,1.299897913,—,100,4.320888994,1.241152811
Mavericks,West,3.232620752,0.999250978,—,100,8.361299019,3.368507577
Kings,West,2.625501206,0.866647529,—,—,—,—
Magic,East,2.473829169,0.849644105,—,100,2.357650167,0.501623472
Pacers,East,2.794670725,0.509388592,—,100,5.664968418,1.153114564
Bulls,East,-0.337556489,-0.302862269,—,—,—,—
Rockets,West,-0.058672836,-1.954915637,—,—,—,—
Hawks,East,-3.909698747,-2.374496013,—,—,—,—
Nets,East,-3.647702046,-3.691822043,—,—,—,—
Raptors,East,-8.777489014,-4.845070959,—,—,—,—
Grizzlies,West,-7.791052421,-5.4509605,—,—,—,—
Jazz,West,-5.539457539,-5.45513874,—,—,—,—
Spurs,West,-2.687227681,-7.373561489,—,—,—,—
Wizards,East,-7.991099325,-8.084769864,—,—,—,—
Pistons,East,-7.329217339,-9.099248336,—,—,—,—
Hornets,East,-10.17452172,-9.234727598,—,—,—,—
Blazers,West,-10.33165534,-10.29291376,—,—,—,—
