Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,12.21023535,8.198015395,—,98.71149381,52.63058296,33.32476259
Thunder,West,7.692133192,4.193175572,—,98.74946514,14.61942058,5.972762014
Pelicans,West,7.362923581,3.376667096,—,98.62946514,7.515486289,3.150230913
T-Wolves,West,6.674901849,3.879619218,—,98.74946514,12.14273409,4.350461826
Cavaliers,East,5.842768786,4.337489426,—,98.71149381,11.25450644,5.097292579
Clippers,West,4.53788005,2.126733435,—,98.62946514,14.96423026,7.560806196
Bucks,East,4.363934389,3.07496134,—,98.71149381,15.3373927,7.231905034
Nuggets,West,4.258932287,5.863034885,—,98.74946514,34.97717346,18.46615616
Knicks,East,2.685873898,3.194308584,—,98.46149381,8.275797566,3.077292579
Pacers,East,2.034536677,-1.620680945,—,88.29324403,1.130775898,0.389216862
Suns,West,1.970571752,2.367347901,—,71.21901021,6.042734088,2.230209611
Mavericks,West,1.942244159,-0.257221007,—,85.2395449,3.364710292,1.430461826
Warriors,West,1.135535073,1.72364178,—,31.75708178,2.081726723,1.152680006
Magic,East,1.127174381,0.06421202,—,98.03149381,1.320897034,0.303895526
Bulls,East,0.490379878,0.014235356,—,28.34074733,0.365637776,0.1162653
Kings,West,0.375481022,0.442293544,—,78.14803676,1.929232692,0.751669633
Heat,East,0.1173125,2.476984764,—,91.29149381,4.662327694,2.070461826
Lakers,West,0.106131867,1.856321218,100,37.89978995,2.251877343,1.048534123
Rockets,West,0.09385584,-3.721273279,—,2.229171719,0.110639578,<0.1
76ers,East,-0.22763128,2.982579622,—,84.43291962,4.756170038,2.156381007
Jazz,West,-2.800247951,-3.980894592,—,<0.1,<0.1,<0.1
Hawks,East,-3.537073803,-0.99418841,—,14.74407747,0.265868511,0.0762653
Nets,East,-4.230719704,-3.201697298,—,0.270009742,<0.1,<0.1
Raptors,East,-4.805545667,-2.126589269,—,<0.1,<0.1,<0.1
Spurs,West,-5.487710586,-9.328490814,—,—,—,—
Grizzlies,West,-7.163987027,-3.796591713,—,<0.1,<0.1,<0.1
Pistons,East,-7.244742168,-8.59904599,—,—,—,—
Blazers,West,-8.505948972,-8.817934482,—,—,—,—
Wizards,East,-9.659087804,-7.345494951,—,—,—,—
Hornets,East,-10.86142371,-8.863444789,—,<0.1,<0.1,<0.1
