Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,12.38287661,8.308973471,—,99.04932641,53.80499968,34.65319394
Thunder,West,7.66382072,4.108569929,—,98.9007021,15.24289111,5.427645061
Pelicans,West,7.602889254,3.699094769,—,98.7907021,8.02484638,3.095650018
T-Wolves,West,6.07757646,4.003611786,—,98.9007021,11.77644555,4.871300037
Nuggets,West,5.300873805,6.042889346,—,98.9007021,34.51254603,18.36241493
Cavaliers,East,4.872085932,3.902204382,—,99.03932641,9.384615343,3.868654321
Bucks,East,4.046336129,3.342680446,—,99.04932641,16.74052617,7.265635438
Clippers,West,3.608836553,1.887573783,—,98.4507021,13.03148518,7.184292495
Suns,West,3.404063776,2.628739336,—,69.77348445,7.058972397,2.468116049
Knicks,East,3.398743873,3.199373929,—,98.84932641,8.154999954,3.343319394
Pacers,East,2.541171829,-0.895598504,—,91.9358122,0.972727264,0.350577026
Magic,East,1.562139995,0.188145095,—,98.35932641,1.549999993,0.414078428
Mavericks,West,1.348094267,0.175888461,—,87.15350122,4.006445555,1.461300037
Warriors,West,1.225930545,1.759799406,—,19.6470029,1.502654052,1.002019592
Kings,West,0.888138189,0.543895732,—,83.02350029,2.249743099,0.707937052
Rockets,West,0.690940859,-2.775128478,—,3.787442319,0.223583272,0.083738326
Lakers,West,0.493869838,1.87130251,100,42.67151921,2.370353026,1.215648866
Heat,East,0.201513516,2.560172163,—,93.05932641,4.64999997,2.058654321
Bulls,East,-0.259783787,-0.338254333,—,20.47006862,0.184615383,0.075862718
76ers,East,-1.037734951,2.89821229,—,83.96692841,4.392857117,2.024023716
Hawks,East,-2.322439114,-0.856905995,—,16.18118326,0.164615383,0.065862718
Jazz,West,-2.94783253,-4.714045685,—,<0.1,<0.1,<0.1
Nets,East,-4.79075322,-3.150430761,—,<0.1,<0.1,<0.1
Raptors,East,-5.430531079,-2.841500171,—,<0.1,<0.1,<0.1
Spurs,West,-5.439704702,-9.259092477,—,—,—,—
Grizzlies,West,-7.674288949,-4.284507528,—,—,—,—
Pistons,East,-7.983301952,-8.887562685,—,—,—,—
Wizards,East,-8.300167734,-7.133975832,—,—,—,—
Blazers,West,-9.017039696,-9.225108022,—,—,—,—
Hornets,East,-11.88266266,-9.205073281,—,—,—,—
