Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,9.92682639,7.377778978,—,97.50502715,40.63294039,26.33634726,Boston Celtics,bos,0.9750502715,0.2633634726
Thunder,West,8.010485208,2.934318033,—,98.01163863,12.30373615,4.787451189,Oklahoma City Thunder,okc,0.9801163863,0.047874511890000006
76ers,East,5.992692752,5.154804721,—,97.49502715,17.53917616,9.439085315,Philadelphia 76ers,phi,0.9749502715,0.09439085315
T-Wolves,West,5.987527621,2.388846387,—,98.01163863,11.21784395,4.465738094,Minnesota Timberwolves,min,0.9801163863,0.04465738094
Clippers,West,5.855224169,2.046802736,—,98.01163863,16.48934038,6.823627973,LA Clippers,lac,0.9801163863,0.06823627973
Nuggets,West,4.776734718,5.711332684,—,98.01163863,34.44191482,17.19018959,Denver Nuggets,den,0.9801163863,0.1719018959
Cavaliers,East,4.115041847,4.04769248,—,97.2332211,7.942039146,4.29457416,Cleveland Cavaliers,cle,0.9723322109999999,0.0429457416
Pelicans,West,4.030325056,1.712447439,—,86.0245494,5.748921976,1.926843604,New Orleans Pelicans,no,0.8602454939999999,0.01926843604
Knicks,East,3.972632141,3.741468008,—,96.48670314,8.549646925,3.955686394,New York Knicks,ny,0.9648670314000001,0.03955686394
Bucks,East,3.688568216,2.326139691,—,97.49502715,17.1672053,8.548170631,Milwaukee Bucks,mil,0.9749502715,0.08548170631
Suns,West,1.732784881,1.094054546,—,77.65618846,7.226748412,3.705309522,Phoenix Suns,phx,0.7765618846,0.03705309522
Rockets,West,0.792489511,-5.439753532,—,21.18212491,0.187174725,0.102616019,Houston Rockets,hou,0.2118212491,0.00102616019
Pacers,East,0.69916981,-2.74333836,—,86.64276109,1.813656036,0.75457416,Indiana Pacers,ind,0.8664276109,0.0075457416
Warriors,West,0.140929657,0.695693783,—,21.72420522,1.470934038,0.75457416,Golden State Warriors,gs,0.2172420522,0.0075457416
Lakers,West,0.059750861,1.463639837,100,50.69160074,3.765650606,1.767387864,Los Angeles Lakers,lal,0.5069160074,0.01767387864
Magic,East,-0.213881838,-0.891085804,—,76.17897674,0.832965778,0.414114685,Orlando Magic,orl,0.7617897673999999,0.00414114685
Heat,East,-0.290448086,0.721528986,—,78.50114418,4.047312073,1.425686394,Miami Heat,mia,0.7850114417999999,0.01425686394
Bulls,East,-0.312124207,0.761102536,—,35.60001094,0.595199288,0.290742837,Chicago Bulls,chi,0.3560001094,0.00290742837
Mavericks,West,-0.400892739,-0.745832498,—,57.164658,3.032075639,1.086954042,Dallas Mavericks,dal,0.57164658,0.010869540419999999
Kings,West,-0.77671614,0.570155193,—,75.93330699,3.729885283,1.305511144,Sacramento Kings,sac,0.7593330699,0.01305511144
Raptors,East,-1.767207774,-0.662718337,—,8.928556116,0.187251329,0.068467594,Toronto Raptors,tor,0.08928556116,6.846759400000001e-4
Jazz,West,-2.198401576,-2.602502286,—,13.31682217,0.237174725,0.122616019,Utah Jazz,uta,0.1331682217,0.0012261601900000001
Nets,East,-2.342254359,-0.829624144,—,11.88423059,0.217251329,0.078467594,Brooklyn Nets,bkn,0.1188423059,7.8467594e-4
Hawks,East,-3.507551594,-1.211219731,—,13.07429331,0.475330296,0.314114685,Atlanta Hawks,atl,0.13074293309999999,0.00314114685
Grizzlies,West,-5.192622672,-0.622600522,—,4.259970343,0.148581998,<0.1,Memphis Grizzlies,mem,0.04259970343,0.001
Wizards,East,-7.625949565,-4.864608634,—,<0.1,<0.1,<0.1,Washington Wizards,wsh,0.001,0.001
Spurs,West,-7.852763192,-9.722049155,—,<0.1,<0.1,<0.1,San Antonio Spurs,sa,0.001,0.001
Pistons,East,-9.121065729,-8.695562402,—,<0.1,<0.1,<0.1,Detroit Pistons,det,0.001,0.001
Blazers,West,-9.587546923,-7.308783078,—,<0.1,<0.1,<0.1,Portland Trail Blazers,por,0.001,0.001
Hornets,East,-10.33038955,-8.026808303,—,2.975002325,<0.1,<0.1,Charlotte Hornets,cha,0.02975002325,0.001
