Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,12.98866995,9.330324349,—,100,99.99986,90.75313742
Thunder,West,7.641536056,5.960353974,—,100,—,—
T-Wolves,West,6.253107249,5.618789177,—,100,—,—
Nuggets,West,4.589461838,4.94811675,—,100,—,—
Mavericks,West,6.544176749,3.67244673,—,100,99.99986,9.246835679
76ers,East,-0.971635112,2.204306782,—,100,—,—
Pelicans,West,4.08510382,2.138894794,—,100,—,—
Lakers,West,2.037488521,2.097765134,100,100,—,—
Heat,East,1.696576257,1.987084987,—,100,—,—
Pacers,East,4.117934881,1.804457108,—,100,—,—
Bucks,East,1.397466792,1.662822328,—,100,—,—
Suns,West,4.997311008,1.604029778,—,100,—,—
Knicks,East,1.591177382,1.441672568,—,100,—,—
Warriors,West,2.553993033,1.422949983,—,—,—,—
Cavaliers,East,1.349913375,0.797700026,—,100,—,—
Magic,East,1.841114323,0.769007923,—,100,—,—
Kings,West,3.001193543,0.676091771,—,—,—,—
Clippers,West,0.88233504,0.600098095,—,100,—,—
Bulls,East,-0.886504125,-0.508468394,—,—,—,—
Rockets,West,-0.009125869,-2.115854075,—,—,—,—
Hawks,East,-3.885379362,-2.545339169,—,—,—,—
Nets,East,-4.092374211,-3.833906597,—,—,—,—
Raptors,East,-9.335487493,-5.223518917,—,—,—,—
Grizzlies,West,-8.690169083,-5.773577443,—,—,—,—
Jazz,West,-6.139127988,-5.822934498,—,—,—,—
Spurs,West,-2.919957461,-7.626345957,—,—,—,—
Wizards,East,-8.397192477,-8.452272029,—,—,—,—
Pistons,East,-7.655686516,-9.597273518,—,—,—,—
Hornets,East,-10.9245965,-9.622177016,—,—,—,—
Blazers,West,-9.542726437,-10.64474599,—,—,—,—
