Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,8.698800759,7.069281515,—,96.96817092,41.23736285,27.33409674
Thunder,West,8.174442298,3.327541693,—,98.58726936,13.18803997,5.399273727
T-Wolves,West,7.102611276,3.054744782,—,98.58726936,12.27803997,4.520989931
Clippers,West,6.86257179,2.701646869,—,98.58726936,19.38981755,8.98688435
Cavaliers,East,5.780493079,4.75305217,—,96.92125906,15.85721495,7.866293403
Pelicans,West,4.90276642,1.82237946,—,89.54939923,4.584407812,1.758824431
Knicks,East,3.977591184,3.652303759,—,96.71105609,11.53665794,5.267338134
Bucks,East,3.082510704,2.243419366,—,96.70105609,16.51967714,7.82688435
76ers,East,3.002592317,3.933890436,—,95.50713277,8.036049187,4.157572525
Nuggets,West,2.93542901,5.612098509,—,98.54726936,31.40045989,16.6760645
Suns,West,1.707611605,1.670711062,—,81.98869251,7.661927021,3.147338134
Warriors,West,1.677720038,1.604272514,—,36.63025544,2.341497065,0.895737633
Rockets,West,1.546666901,-5.179994685,—,8.349151938,0.169082582,0.085080954
Magic,East,0.748928976,-0.41236406,—,84.94575628,0.830536649,0.313339204
Pacers,East,0.617675555,-2.595887392,—,81.69416134,1.44308631,0.433611369
Mavericks,West,0.494893822,-0.723787728,—,69.29357156,3.504091978,1.101505774
Lakers,West,0.421998662,1.701059076,100,43.55679956,2.747230615,1.169112711
Kings,West,-0.073900922,0.551589736,—,70.39045931,2.587230615,1.145977648
Heat,East,-0.563337975,0.628874007,—,80.50251204,3.021246728,1.301505774
Bulls,East,-1.283973651,0.744800909,—,28.30410279,0.596753244,0.175080954
Jazz,West,-1.859527169,-2.86835927,—,5.932563859,0.148149071,0.085080954
Nets,East,-1.913041206,-1.330276068,—,8.274723561,0.190977618,0.079508733
Hawks,East,-2.280467014,-0.787903027,—,22.55755635,0.549394885,0.203339204
Raptors,East,-2.713973537,-1.009362007,—,7.976982655,0.181016326,0.069508733
Grizzlies,West,-5.883449234,-1.889428673,—,<0.1,<0.1,<0.1
Blazers,West,-8.156654079,-7.190170274,—,<0.1,<0.1,<0.1
Wizards,East,-8.175574074,-5.301376485,—,<0.1,<0.1,<0.1
Spurs,West,-8.281030921,-9.730059273,—,<0.1,<0.1,<0.1
Pistons,East,-8.457900697,-8.682586008,—,<0.1,<0.1,<0.1
Hornets,East,-11.78481997,-8.751094147,—,2.93551127,<0.1,<0.1
