Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,8.989351996,7.107420279,—,96.87998517,39.9269134,25.76996838
Thunder,West,6.763336803,2.827850392,—,97.89731522,12.7694474,5.017993675
76ers,East,6.38556204,5.338653522,—,96.7823693,19.49817406,10.57332279
T-Wolves,West,5.798355043,2.543438653,—,97.89731522,11.85684491,4.767361763
Nuggets,West,5.766347517,5.895044411,—,97.89731522,36.46679522,18.96148557
Pelicans,West,5.051082361,2.062697184,—,87.45273826,6.693422454,2.014899481
Clippers,West,4.686237565,1.392829498,—,97.75801503,12.44900532,5.454723527
Cavaliers,East,4.182274954,3.954986276,—,96.48790604,7.930392303,3.931309402
Knicks,East,2.890738576,3.560777977,—,95.23057363,6.290504389,2.936508686
Bucks,East,2.692925995,2.330991654,—,96.6723693,17.66353072,8.385495432
Heat,East,2.468180193,1.592665834,—,91.40084295,4.517537011,1.638996838
Suns,West,1.156029103,1.080531313,—,77.18972453,7.689336883,3.468562393
Lakers,West,0.183896587,1.489240838,100,43.86603858,3.459751331,1.630641081
Mavericks,West,-0.037690431,-0.647754975,—,66.84863692,3.330883919,1.274440931
Magic,East,-0.044788273,-1.18862393,—,75.73150808,0.958796851,0.417250943
Pacers,East,-0.169649409,-2.810697501,—,77.7173008,1.722330468,0.691309402
Rockets,West,-0.259527318,-5.677663491,—,25.25018223,0.329733028,0.196966225
Warriors,West,-0.289461314,0.464551809,—,25.77919457,1.729844582,0.791309402
Kings,West,-0.452453039,0.239100464,—,66.14273826,2.908044636,1.154252628
Bulls,East,-0.47549529,0.603134425,—,31.64750262,0.556744761,0.282447608
Raptors,East,-1.09597863,-0.740849242,—,9.738171753,0.188227672,0.069151204
Nets,East,-1.958062597,-0.497825697,—,13.475489,0.286321354,0.109151204
Jazz,West,-2.265329381,-2.698079649,—,11.78824024,0.168436518,0.103640582
Hawks,East,-2.69695461,-0.963436676,—,15.29131344,0.460500913,0.317250943
Grizzlies,West,-5.074467894,-0.524697566,—,4.232526473,0.148436518,<0.1
Spurs,West,-7.868514165,-10.10892056,—,<0.1,<0.1,<0.1
Wizards,East,-7.872359062,-4.824900154,—,<0.1,<0.1,<0.1
Pistons,East,-9.589253751,-8.86307542,—,<0.1,<0.1,<0.1
Hornets,East,-9.713707586,-7.726531487,—,2.944649069,<0.1,<0.1
Blazers,West,-10.56663609,-7.511306851,—,<0.1,<0.1,<0.1
