Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,8.907887529,6.994680401,—,97.24293763,39.71711706,24.80146336,Boston Celtics,bos,0.9724293763,0.2480146336
76ers,East,7.483680223,5.218104719,—,96.62538289,18.16799097,10.42405852,Philadelphia 76ers,phi,0.9662538289,0.10424058520000001
Nuggets,West,5.15803933,5.428528781,—,97.11246295,35.40805163,19.03217556,Denver Nuggets,den,0.9711246294999999,0.19032175559999998
T-Wolves,West,4.597001718,1.598238144,—,95.61930986,9.879512907,3.984585354,Minnesota Timberwolves,min,0.9561930986,0.039845853540000004
Bucks,East,3.294755088,2.112422658,—,96.268253,19.3347914,9.197940331,Milwaukee Bucks,mil,0.96268253,0.09197940331
Knicks,East,3.130501896,3.076299584,—,86.77157546,5.918237471,2.89132343,New York Knicks,ny,0.8677157545999999,0.0289132343
Warriors,West,2.9910284,1.374072918,—,56.33235799,4.975707744,2.117447671,Golden State Warriors,gs,0.5633235799,0.021174476709999997
Cavaliers,East,2.910131851,3.315143699,—,86.82683848,6.192796839,2.91132343,Cleveland Cavaliers,cle,0.8682683848,0.0291132343
Lakers,West,2.759690187,1.843780666,100,77.5510258,8.36801475,3.592151463,Los Angeles Lakers,lal,0.7755102580000001,0.03592151463
Thunder,West,2.520225556,0.646474532,—,87.02977411,6.357610325,1.75132343,Oklahoma City Thunder,okc,0.8702977411,0.0175132343
Heat,East,2.326316766,2.295191592,—,80.89927906,4.429330323,2.359437582,Miami Heat,mia,0.8089927906,0.02359437582
Suns,West,2.169167366,1.224282183,—,75.90703913,13.24003688,6.418117038,Phoenix Suns,phx,0.7590703913,0.06418117038
Pelicans,West,2.061847188,1.091139222,—,68.33309582,5.217137169,1.579686521,New Orleans Pelicans,no,0.6833309582,0.01579686521
Clippers,West,1.942628612,-0.091548114,—,72.03173976,5.433104989,2.107536575,LA Clippers,lac,0.7203173975999999,0.021075365750000002
Nets,East,1.14735326,1.047951312,—,62.0251991,1.521494926,0.51331472,Brooklyn Nets,bkn,0.6202519910000001,0.0051331472
Kings,West,1.074412965,0.798457055,—,73.92666162,4.99963468,1.710564265,Sacramento Kings,sac,0.7392666162,0.01710564265
Hawks,East,0.834438343,0.594631317,—,42.40554612,1.482077192,0.64050374,Atlanta Hawks,atl,0.4240554612,0.0064050374
Mavericks,West,-0.251514534,0.298929857,—,63.32889069,4.835704221,1.800745635,Dallas Mavericks,dal,0.6332889069000001,0.01800745635
Bulls,East,-0.393850039,0.419704797,—,20.15330727,0.414128285,0.232036837,Chicago Bulls,chi,0.20153307269999998,0.00232036837
Raptors,East,-0.618251919,-0.857484605,—,18.96433091,0.389139973,0.172036837,Toronto Raptors,tor,0.18964330910000002,0.00172036837
Magic,East,-0.760064456,-1.729316999,—,66.93265619,1.270603181,0.32752098,Orlando Magic,orl,0.6693265619000001,0.0032752098
Grizzlies,West,-2.217729668,-0.188892216,—,3.590675558,0.282875198,0.31649525,Memphis Grizzlies,mem,0.03590675558,0.0031649525
Pacers,East,-2.30662219,-3.634959586,—,40.44604975,0.902077192,0.511862689,Indiana Pacers,ind,0.4044604975,0.00511862689
Rockets,West,-2.560234251,-6.644371913,—,25.75861284,0.647184165,0.31649525,Houston Rockets,hou,0.2575861284,0.0031649525
Jazz,West,-6.492339161,-3.407341834,—,2.53290461,0.184909761,0.082756243,Utah Jazz,uta,0.025329046100000002,8.275624299999999e-4
Hornets,East,-6.67978863,-6.198094287,—,3.496903717,0.086738397,<0.1,Charlotte Hornets,cha,0.03496903717,0.001
Wizards,East,-6.85718155,-3.615852012,—,0.470870203,0.086738397,<0.1,Washington Wizards,wsh,0.00470870203,0.001
Pistons,East,-10.28469679,-9.034860366,—,0.470870203,0.086738397,<0.1,Detroit Pistons,det,0.00470870203,0.001
Spurs,West,-10.51049349,-10.62464135,—,0.47272463,0.085257794,<0.1,San Antonio Spurs,sa,0.0047272463,0.001
Blazers,West,-10.67228703,-5.928637572,—,0.47272463,0.085257794,<0.1,Portland Trail Blazers,por,0.0047272463,0.001
