Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,12.78393162,8.7411772,—,100,70.72953963,47.53044259
Thunder,West,7.799437194,6.576261147,—,100,29.80740574,13.52086513
Nuggets,West,4.857416894,6.075778073,—,100,20.20579635,9.462277345
T-Wolves,West,7.086437282,5.876978968,—,100,35.84139361,16.70464375
76ers,East,-0.721575235,2.662436516,—,100,—,—
Lakers,West,2.255187026,2.40213556,100,100,—,—
Knicks,East,2.971791816,2.304504782,—,100,17.22012848,5.213789931
Pelicans,West,3.847465361,2.288224541,—,100,—,—
Suns,West,4.814056251,1.89689545,—,100,—,—
Mavericks,West,3.91763886,1.814191238,—,100,14.14530561,5.04074716
Bucks,East,1.36577802,1.560090539,—,100,—,—
Warriors,West,2.705317599,1.551758103,—,—,—,—
Cavaliers,East,1.746513225,1.435724076,—,100,6.673538545,1.332398008
Heat,East,1.1597039,1.406246712,—,100,—,—
Magic,East,2.562871342,0.977520973,—,100,—,—
Kings,West,2.902404497,0.76239563,—,—,—,—
Pacers,East,2.85458808,0.706447346,—,100,5.376692415,1.19464293
Clippers,West,0.921785112,0.572418822,—,100,—,—
Bulls,East,-0.463386017,-0.319517511,—,—,—,—
Rockets,West,0.126472591,-1.964095475,—,—,—,—
Hawks,East,-3.71272074,-2.214795469,—,—,—,—
Nets,East,-3.800736526,-3.81256841,—,—,—,—
Raptors,East,-9.062551322,-4.903494606,—,—,—,—
Grizzlies,West,-8.187026489,-5.453994179,—,—,—,—
Jazz,West,-6.155241652,-5.588693008,—,—,—,—
Spurs,West,-2.785003939,-7.361101803,—,—,—,—
Wizards,East,-8.05052399,-8.139465469,—,—,—,—
Pistons,East,-7.452899022,-9.168764873,—,—,—,—
Hornets,East,-10.36474197,-9.315450482,—,—,—,—
Blazers,West,-9.248291819,-10.27742247,—,—,—,—
