Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,9.508016278,7.205600605,21.73524857,97.75212719,39.12625816,25.17293163,Boston Celtics,bos,0.9775212718999999,0.2517293163
Nuggets,West,5.589218264,5.401710622,15.43421477,97.04421992,34.33791648,19.67051456,Denver Nuggets,den,0.9704421992000001,0.19670514560000002
76ers,East,5.410164916,4.387890097,3.136721679,95.83733793,15.50850326,7.596516391,Philadelphia 76ers,phi,0.9583733793,0.07596516391
Cavaliers,East,5.261842829,2.976614612,2.673817106,91.63122795,8.129251632,3.684102913,Cleveland Cavaliers,cle,0.9163122794999999,0.03684102913
Heat,East,4.170980468,2.687196854,6.43640395,86.87444588,6.855016951,3.135519466,Miami Heat,mia,0.8687444588,0.03135519466
Warriors,West,3.610137041,1.89113533,3.178962238,85.048576,11.1803645,4.681385243,Golden State Warriors,gs,0.85048576,0.046813852430000004
Bucks,East,3.599030597,2.337165703,10.44481119,95.08746554,17.96127838,9.415534356,Milwaukee Bucks,mil,0.9508746553999999,0.09415534356000001
Knicks,East,3.571569754,2.856062204,1.790437381,85.28214043,6.017285055,2.791293163,New York Knicks,ny,0.8528214043,0.027912931630000002
Suns,West,2.656626601,0.86881368,2.100874762,84.89634353,14.91760948,6.572770487,Phoenix Suns,phx,0.8489634353,0.06572770487
Lakers,West,2.655533936,1.560415822,10.75840959,77.18751619,9.027537821,3.472762666,Los Angeles Lakers,lal,0.7718751618999999,0.03472762666
T-Wolves,West,1.713227917,-0.112450225,6.925606395,85.06043556,5.241527735,2.008302712,Minnesota Timberwolves,min,0.8506043556,0.02008302712
Bulls,East,1.509972278,-0.820901475,0.451261842,36.99287506,0.698517537,0.40618915,Chicago Bulls,chi,0.3699287506,0.0040618915
Kings,West,1.266982876,0.290155279,3.645725659,69.85751619,4.546145801,1.287587555,Sacramento Kings,sac,0.6985751619,0.01287587555
Thunder,West,1.141283802,-1.018707276,0.170423015,77.38392711,3.151532715,0.721367638,Oklahoma City Thunder,okc,0.7738392711000001,0.007213676380000001
Clippers,West,1.097691889,-0.751168694,0.114368996,52.2734402,4.405608925,2.301038932,LA Clippers,lac,0.522734402,0.02301038932
Raptors,East,1.037277946,-0.26406392,0.920800605,43.95994106,0.960836159,0.358700301,Toronto Raptors,tor,0.43959941059999996,0.00358700301
Hawks,East,0.783449455,1.149776292,2.217681918,63.88524662,2.18973706,0.801466444,Atlanta Hawks,atl,0.6388524661999999,0.00801466444
Grizzlies,West,0.24494488,1.48876079,0.084368996,24.36944948,2.171884455,1.033391249,Memphis Grizzlies,mem,0.2436944948,0.01033391249
Mavericks,West,0.129694192,1.032413526,0.094368996,76.39201814,7.077537821,2.666831146,Dallas Mavericks,dal,0.7639201814000001,0.026668311459999997
Pelicans,West,-0.675481806,0.555911969,0.950437381,43.57344293,2.943454834,1.05217213,New Orleans Pelicans,no,0.4357344293,0.0105217213
Nets,East,-1.352722734,1.284095254,1.134801199,33.58715534,1.035607376,0.517271917,Brooklyn Nets,bkn,0.3358715534,0.005172719169999999
Magic,East,-1.851421479,-3.497852273,0.3097792,28.67770575,0.409912353,0.092676205,Orlando Magic,orl,0.2867770575,9.267620499999999e-4
Wizards,East,-4.073995416,-2.790271207,0.084368996,1.723471982,0.086387767,<0.1,Washington Wizards,wsh,0.01723471982,0.001
Jazz,West,-4.259892199,-2.466121586,0.806169305,5.572502313,0.233828265,0.082676205,Utah Jazz,uta,0.05572502313,8.2676205e-4
Pacers,East,-4.264115749,-4.389562796,3.071804197,32.65659047,0.848632769,0.187424338,Indiana Pacers,ind,0.32656590469999996,0.00187424338
Hornets,East,-6.093582537,-5.503002946,0.084368996,3.971937004,0.086387767,<0.1,Charlotte Hornets,cha,0.03971937004,0.001
Rockets,West,-7.544613109,-7.947017676,0.990656072,17.29540676,0.596097409,0.082676205,Houston Rockets,hou,0.17295406759999998,8.2676205e-4
Pistons,East,-8.254952357,-7.449651449,0.084368996,2.080331802,0.086387767,<0.1,Detroit Pistons,det,0.02080331802,0.001
Blazers,West,-9.637020355,-6.688171362,0.084368996,1.537178151,0.084476878,<0.1,Portland Trail Blazers,por,0.01537178151,0.001
Spurs,West,-12.73688384,-9.806483935,0.084368996,2.508027509,0.084476878,<0.1,San Antonio Spurs,sa,0.025080275090000003,0.001
