Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,11.79090441,8.085624187,—,98.43821144,51.76464187,32.92172753,Boston Celtics,bos,0.9843821144,0.3292172753
Thunder,West,7.928447634,4.306800347,—,98.26346389,15.09085263,6.411876405,Oklahoma City Thunder,okc,0.9826346389,0.06411876405
Pelicans,West,7.373087748,3.206423765,—,96.8428215,6.583052303,2.47299285,New Orleans Pelicans,no,0.968428215,0.024729928499999998
T-Wolves,West,6.724867493,3.789427524,—,98.26346389,12.22615215,4.6359857,Minnesota Timberwolves,min,0.9826346389,0.046359857
Cavaliers,East,6.051550855,4.328497301,—,98.43821144,12.45235724,5.388820225,Cleveland Cavaliers,cle,0.9843821144,0.053888202249999996
Clippers,West,5.060818965,2.277210226,—,98.24346389,15.23412466,7.778850476,LA Clippers,lac,0.9824346389,0.07778850476
Bucks,East,4.333470498,3.046887246,—,98.43821144,15.04089309,7.354691012,Milwaukee Bucks,mil,0.9843821144,0.07354691012
Nuggets,West,4.225851764,5.868086819,—,98.26346389,34.15251987,18.07919258,Denver Nuggets,den,0.9826346389,0.1807919258
Knicks,East,2.597212807,3.122049318,—,98.05821144,8.042357238,2.832500803,New York Knicks,ny,0.9805821144,0.028325008029999998
Pacers,East,2.123007292,-1.673085224,—,90.44834819,1.646325033,0.420723373,Indiana Pacers,ind,0.9044834819,0.00420723373
Suns,West,2.036114051,2.470015386,—,76.56715778,6.476152154,2.427501124,Phoenix Suns,phx,0.7656715778000001,0.024275011239999998
Mavericks,West,1.615132569,-0.222754491,—,76.72077883,3.125426316,1.226960219,Dallas Mavericks,dal,0.7672077883,0.01226960219
Warriors,West,1.307240607,1.73552769,—,41.64420071,2.808076077,1.310938202,Golden State Warriors,gs,0.4164420071,0.01310938202
Magic,East,0.637723297,-0.16603232,—,97.22821144,1.319601495,0.414386868,Orlando Magic,orl,0.9722821144,0.00414386868
Bulls,East,0.20426526,0.016574499,—,29.02406804,0.326333715,0.066508027,Chicago Bulls,chi,0.2902406804,6.6508027e-4
Kings,West,0.05692597,0.711157055,—,79.48832377,2.269412466,0.93299285,Sacramento Kings,sac,0.7948832376999999,0.0093299285
Heat,East,-0.112304831,2.362270193,—,90.70821144,4.852650066,1.9359857,Miami Heat,mia,0.9070821144,0.019359857
Rockets,West,-0.293311448,-3.942282863,—,2.171204484,0.110735738,<0.1,Houston Rockets,hou,0.02171204484,0.001
Lakers,West,-0.335900354,1.750299652,100,33.53161877,1.923460991,1.145061661,Los Angeles Lakers,lal,0.3353161877,0.011450616609999999
76ers,East,-0.478727452,2.945425911,—,83.72847526,4.10619831,2.100938202,Philadelphia 76ers,phi,0.8372847526,0.02100938202
Jazz,West,-2.953373284,-3.98324741,—,<0.1,<0.1,<0.1,Utah Jazz,uta,0.001,0.001
Nets,East,-3.421303347,-2.898806325,—,1.919769042,0.149105674,<0.1,Brooklyn Nets,bkn,0.01919769042,0.001
Hawks,East,-3.875990447,-0.984785165,—,13.52003205,0.299501559,0.056508027,Atlanta Hawks,atl,0.1352003205,5.6508027e-4
Raptors,East,-4.549922103,-2.001023216,—,0.050009688,<0.1,<0.1,Toronto Raptors,tor,5.0009688e-4,0.001
Spurs,West,-5.603209983,-9.401732954,—,0,—,0,San Antonio Spurs,sa,0,0
Grizzlies,West,-6.751457197,-3.894835844,—,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,0.001,0.001
Pistons,East,-7.222203072,-8.602827308,—,0,—,0,Detroit Pistons,det,0,0
Blazers,West,-8.341679468,-8.749901248,—,0,—,0,Portland Trail Blazers,por,0,0
Wizards,East,-8.960446768,-7.153563683,—,0,—,0,Washington Wizards,wsh,0,0
Hornets,East,-10.57719233,-8.693088875,—,<0.1,<0.1,<0.1,Charlotte Hornets,cha,0.001,0.001
