Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,9.655101084,7.2811348,—,97.98092834,41.92480885,26.23682333
Nuggets,West,6.225779681,5.86328082,—,97.79397319,36.56507235,19.6846107
76ers,East,6.158548566,5.14846057,—,97.88148971,18.50001006,9.573844281
T-Wolves,West,6.084961739,2.490997844,—,97.6362373,12.45293958,4.45727162
Pelicans,West,5.611569472,1.594525209,—,85.97781927,6.568760852,2.22411717
Thunder,West,4.744548764,2.20013816,—,96.22211507,11.72580702,4.605261876
Clippers,West,3.781962856,0.971765804,—,93.61163047,9.956377876,4.153844281
Knicks,East,3.082417904,3.467905156,—,92.38712089,7.206670019,3.325580829
Bucks,East,2.588164183,2.201405339,—,97.11339899,17.05421302,8.794281366
Cavaliers,East,2.441915813,3.362354699,—,88.60138858,6.335002515,2.610655339
Warriors,West,1.791682554,0.937479756,—,48.16669478,3.598760852,1.23411717
Heat,East,1.791033496,2.473872999,—,90.54153813,4.818238844,2.092161504
Lakers,West,1.251571081,1.449439263,100,52.43464634,4.18861507,1.843999188
Magic,East,0.501361274,-1.488349535,—,79.14907867,1.297443264,0.461088868
Raptors,East,0.474793098,-0.552485638,—,20.70117878,0.29933735,0.172282057
Suns,West,0.294876886,0.666667007,—,48.15797683,6.705208027,3.659997971
Mavericks,West,0.169214903,-0.3378222,—,67.23781927,3.572903512,1.50818108
Bulls,East,0.068166369,0.428076295,—,31.80010917,0.606887817,0.282282057
Rockets,West,-0.026308514,-5.761712501,—,31.74461102,0.415509467,0.316946379
Pacers,East,-0.051392064,-2.49932086,—,67.4336536,0.796364551,0.522592292
Kings,West,-0.338912715,0.307160284,—,70.23475068,3.591469788,1.342630938
Hawks,East,-0.88500058,-0.509449015,—,18.83738085,0.61481556,0.363140295
Nets,East,-1.998030809,-0.405304847,—,13.59506529,0.286806599,0.173504745
Grizzlies,West,-3.948839462,-0.310520445,—,7.102840533,0.346830216,0.111913681
Jazz,West,-4.438680859,-3.238650262,—,3.200152922,0.144214626,<0.1
Hornets,East,-8.436346108,-7.419114059,—,3.545649484,0.086467186,<0.1
Wizards,East,-8.626306193,-4.638756554,—,0.239904642,0.086467186,<0.1
Spurs,West,-10.10759079,-11.16634621,—,0.239366168,0.083765382,<0.1
Pistons,East,-10.4980994,-8.892334176,—,0.192114872,0.086467186,<0.1
Blazers,West,-11.49810125,-6.521094659,—,0.239366168,0.083765382,<0.1
