Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,8.346589599,7.442338449,11.8248662,97.73813087,41.20382437,26.65894823
76ers,East,6.833655856,5.059619102,0.086132116,96.99168105,16.63460812,9.559378544
Nuggets,West,4.826951268,5.19653405,—,96.90927629,33.89969783,17.85186235
Cavaliers,East,4.366851612,2.97044537,3.417777326,91.10781822,6.88282578,3.49037247
Heat,East,4.194062273,2.737552334,3.987642126,86.24718839,5.881555838,2.919751417
Knicks,East,4.113222166,2.839190308,6.018364127,86.80477256,5.607978046,2.474894823
Suns,West,3.608562144,1.331482191,11.86055968,93.58689792,16.46129052,7.355340893
Bucks,East,3.432614118,1.710361877,14.71731594,95.74857548,17.8841289,8.851862351
Warriors,West,3.350816662,1.396885981,3.726087606,80.58053525,8.866003478,3.590558705
T-Wolves,West,3.118670068,0.460031109,2.952492443,91.74634866,7.213359503,2.381614732
Lakers,West,2.715672991,1.522173911,14.67574824,79.03290705,8.562457549,3.310457123
Thunder,West,2.011712187,-0.120412627,—,85.24177835,4.913001739,1.202679584
Pelicans,West,1.521837775,0.944595739,7.099399243,61.09534832,4.581881322,1.462679584
Kings,West,1.136850917,0.617318824,7.919732396,72.06083351,4.917939565,1.814055586
Hawks,East,1.001604665,0.576246537,0.086132116,60.75512272,1.752672217,0.693229757
Raptors,East,0.738124249,-0.474951549,—,38.24619183,0.68957876,0.282572849
Clippers,West,0.562523727,-0.34616278,—,46.71324367,3.713359503,1.763602268
Nets,East,-0.240250085,1.149383705,1.019406032,38.86778863,1.148824873,0.403730086
Bulls,East,-0.295675743,-0.68310429,—,14.09476278,0.487322385,0.217109273
Magic,East,-0.54973341,-2.216739923,3.788364127,58.34512272,0.787533785,0.288323334
Mavericks,West,-0.673586253,0.086686903,—,62.48290705,5.272457549,2.170457123
Grizzlies,West,-1.176003792,0.635981435,—,8.131159537,0.799295624,0.353719477
Pacers,East,-3.538157129,-4.256450177,5.669732396,30.00462664,0.780706445,0.268323334
Jazz,West,-5.160520197,-2.415558384,—,4.131343627,0.112304217,0.083014085
Rockets,West,-5.427645269,-7.253963556,1.058937559,16.7228833,0.519099173,0.343719477
Wizards,East,-5.582656574,-2.907607874,—,0.807809591,0.086146828,<0.1
Hornets,East,-6.911811599,-5.697959296,0.086132116,3.452598934,0.086146828,<0.1
Pistons,East,-8.827088577,-7.936123568,—,0.787809591,0.086146828,<0.1
Blazers,West,-10.53837932,-6.977317462,—,0.782268725,0.083926214,<0.1
Spurs,West,-12.42552644,-9.7384356,—,0.782268725,0.083926214,<0.1
