Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,8.463751252,7.090505101,—,97.61791129,38.15528064,23.77357812,Boston Celtics,bos,0.9761791128999999,0.2377357812
76ers,East,6.98679708,5.894094358,—,96.98545494,21.52895409,12.73191551,Philadelphia 76ers,phi,0.9698545493999999,0.1273191551
Nuggets,West,6.869494713,5.441435004,—,97.36823859,34.5685516,18.34669561,Denver Nuggets,den,0.9736823859,0.18346695610000002
T-Wolves,West,5.058018908,1.94630313,—,95.77048093,10.77324135,4.105340859,Minnesota Timberwolves,min,0.9577048093,0.04105340859
Bucks,East,3.501625412,1.992635799,—,96.9995384,19.23969872,8.875336514,Milwaukee Bucks,mil,0.9699953840000001,0.08875336514000001
Lakers,West,3.209497675,1.750719817,100,73.93387687,7.776729028,3.202990378,Los Angeles Lakers,lal,0.7393387687,0.03202990378
Thunder,West,3.196462018,1.214848334,—,90.13703085,7.197546771,2.153971837,Oklahoma City Thunder,okc,0.9013703085,0.02153971837
Clippers,West,2.959087221,0.308124227,—,81.03644443,6.213241345,3.467121145,LA Clippers,lac,0.8103644443,0.03467121145
Pelicans,West,2.944392299,1.376478397,—,72.7210135,6.026620673,1.87060356,New Orleans Pelicans,no,0.727210135,0.0187060356
Warriors,West,2.865012329,1.295780032,—,56.98384513,4.9247586,1.868766205,Golden State Warriors,gs,0.5698384513,0.01868766205
Cavaliers,East,2.664146937,3.283790246,—,89.81921248,6.331819124,3.059278634,Cleveland Cavaliers,cle,0.8981921248,0.03059278634
Knicks,East,2.24184146,2.875394926,—,87.70745489,5.373528064,2.589278634,New York Knicks,ny,0.8770745488999999,0.025892786339999998
Suns,West,1.898345602,0.992596045,—,71.40801151,12.14712902,5.663352147,Phoenix Suns,phx,0.7140801150999999,0.05663352147
Heat,East,1.330598939,1.701733227,—,78.45306092,3.907800084,1.745589653,Miami Heat,mia,0.7845306092,0.01745589653
Kings,West,1.022345848,0.981868462,—,73.13792079,5.029103425,1.705589653,Sacramento Kings,sac,0.7313792079,0.01705589653
Nets,East,0.267770216,1.087423754,—,51.66179484,1.138917569,0.421533174,Brooklyn Nets,bkn,0.5166179484,0.00421533174
Bulls,East,-0.109863009,0.50430568,—,26.95384101,0.56610084,0.219737831,Chicago Bulls,chi,0.2695384101,0.00219737831
Magic,East,-0.13716779,-1.474221775,—,74.60238759,1.375909562,0.475017992,Orlando Magic,orl,0.7460238759000001,0.00475017992
Mavericks,West,-0.161076404,-0.032522194,—,59.71480278,4.280434984,1.750957756,Dallas Mavericks,dal,0.5971480278,0.01750957756
Hawks,East,-0.427722542,0.507444197,—,35.66229816,0.906363961,0.388072869,Atlanta Hawks,atl,0.3566229816,0.00388072869
Raptors,East,-0.597402134,-1.115745449,—,21.64074391,0.448181996,0.169737831,Toronto Raptors,tor,0.21640743910000002,0.00169737831
Rockets,West,-2.294398435,-6.404685703,—,21.10789294,0.475776426,0.31226578,Houston Rockets,hou,0.2110789294,0.0031226578
Grizzlies,West,-2.453203541,-0.264083372,—,3.212154732,0.234174888,0.31226578,Memphis Grizzlies,mem,0.03212154732,0.0031226578
Pacers,East,-2.551503141,-3.877157358,—,37.42242733,0.769432171,0.505022434,Indiana Pacers,ind,0.37422427329999997,0.00505022434
Jazz,West,-6.185988378,-3.295776092,—,2.520122157,0.183487683,0.081650334,Utah Jazz,uta,0.025201221569999998,8.1650334e-4
Wizards,East,-6.977244716,-3.705863273,—,0.474607565,0.086004394,<0.1,Washington Wizards,wsh,0.00474607565,0.001
Hornets,East,-7.088501813,-6.748478486,—,3.52465912,0.086004394,<0.1,Charlotte Hornets,cha,0.035246591199999996,0.001
Blazers,West,-10.16896424,-5.831956347,—,0.474082386,0.084602105,<0.1,Portland Trail Blazers,por,0.00474082386,0.001
Pistons,East,-10.3161035,-8.958371687,—,0.474607565,0.086004394,<0.1,Detroit Pistons,det,0.00474607565,0.001
Spurs,West,-10.74872958,-10.96729407,—,0.474082386,0.084602105,<0.1,San Antonio Spurs,sa,0.00474082386,0.001
