Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,13.22322694,8.781214632,—,100,99.99986,94.56641863,Boston Celtics,bos,1,0.9456641863
Thunder,West,8.119130037,6.094272581,—,100,—,0,Oklahoma City Thunder,okc,1,0
T-Wolves,West,6.42955497,5.726496453,—,100,—,0,Minnesota Timberwolves,min,1,0
Nuggets,West,4.111091811,4.932213518,—,100,—,0,Denver Nuggets,den,1,0
Mavericks,West,7.010537285,4.37332166,—,100,99.99986,5.43355442,Dallas Mavericks,dal,1,0.0543355442
76ers,East,-0.882355915,2.152925921,—,100,—,0,Philadelphia 76ers,phi,1,0
Pelicans,West,3.59197098,2.151590814,—,100,—,0,New Orleans Pelicans,no,1,0
Lakers,West,1.490044316,2.10136075,100,100,—,0,Los Angeles Lakers,lal,1,0
Heat,East,1.268220422,1.873365835,—,100,—,0,Miami Heat,mia,1,0
Pacers,East,3.750432185,1.735460848,—,100,—,0,Indiana Pacers,ind,1,0
Bucks,East,0.965398986,1.612662407,—,100,—,0,Milwaukee Bucks,mil,1,0
Suns,West,4.077678795,1.608458151,—,100,—,0,Phoenix Suns,phx,1,0
Warriors,West,2.77784654,1.437932192,—,0,—,0,Golden State Warriors,gs,0,0
Knicks,East,1.529160028,1.365095065,—,100,—,0,New York Knicks,ny,1,0
Magic,East,2.292322618,0.737875879,—,100,—,0,Orlando Magic,orl,1,0
Clippers,West,0.744468768,0.722014742,—,100,—,0,LA Clippers,lac,1,0
Cavaliers,East,0.793481691,0.716093418,—,100,—,0,Cleveland Cavaliers,cle,1,0
Kings,West,2.613519877,0.690183264,—,0,—,0,Sacramento Kings,sac,0,0
Bulls,East,-0.592157951,-0.527639127,—,0,—,0,Chicago Bulls,chi,0,0
Rockets,West,0.133764992,-2.111529033,—,0,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.782128026,-2.619423719,—,0,—,0,Atlanta Hawks,atl,0,0
Nets,East,-3.837667399,-3.873443936,—,0,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-8.930525433,-5.260203435,—,0,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-7.980650107,-5.756190271,—,0,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-6.235843494,-5.814372533,—,0,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.856075889,-7.607116591,—,0,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.139219347,-8.488794689,—,0,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.542274077,-9.628191377,—,0,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.63848171,-9.778087608,—,0,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.58959007,-10.64550611,—,0,—,0,Portland Trail Blazers,por,0,0
