Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,12.14478408,8.361657352,—,98.78624308,53.34305281,35.3012235
Thunder,West,7.98100082,4.196634036,—,98.87225381,15.44228074,6.37130321
Pelicans,West,7.434169039,3.754927852,—,98.60225381,7.616887157,2.928932548
T-Wolves,West,6.685227125,4.301912755,—,98.87225381,14.8147184,5.926055291
Cavaliers,East,4.710107826,3.682956963,—,98.77624308,8.941462913,3.807865096
Nuggets,West,4.55901603,5.958284317,—,98.87225381,33.25992993,17.49687166
Bucks,East,4.035439092,3.240695527,—,98.78624308,15.26171167,7.061193519
Knicks,East,3.856202288,3.384132462,—,98.70624308,8.151462913,3.159717518
Suns,West,3.240929373,2.676099491,—,71.20114159,5.777902068,2.186055291
Clippers,West,3.148766857,1.705620034,—,98.67225381,12.51246018,6.051193519
Pacers,East,3.069941205,-0.72567047,—,92.93309794,1.340639637,0.528508662
Mavericks,West,2.250388304,0.850411803,—,93.80285869,4.348321654,1.657865096
Warriors,West,2.220785294,2.123256462,—,24.61409444,1.889847789,0.768932548
Magic,East,1.676649878,0.288706155,—,98.01624308,1.405237801,0.621904948
Heat,East,0.889285975,2.727004455,—,93.05624308,5.033632519,2.020687166
Rockets,West,0.449894152,-2.414237548,—,4.909702445,0.182011254,0.056151196
Kings,West,0.279171811,0.30980839,—,65.8287597,1.428613294,0.508508662
Lakers,West,-0.161175114,1.988735086,100,45.75213501,2.726992993,1.076853885
Bulls,East,-0.178286391,-0.394336031,—,19.01495337,0.258425356,0.076151196
76ers,East,-1.59870012,2.852164304,—,86.59396998,5.971462913,2.33779838
Hawks,East,-2.338708648,-0.984442218,—,15.31047143,0.292867502,0.056151196
Jazz,West,-3.052726523,-4.827881373,—,—,—,—
Nets,East,-4.291159678,-3.074924527,—,<0.1,<0.1,<0.1
Spurs,West,-5.018105151,-8.993372215,—,—,—,—
Raptors,East,-5.994603753,-3.281367179,—,—,—,—
Pistons,East,-7.11875762,-8.984755301,—,—,—,—
Grizzlies,West,-7.905569369,-4.473655315,—,—,—,—
Wizards,East,-8.622114864,-7.553288825,—,—,—,—
Blazers,West,-9.934794531,-9.968447329,—,—,—,—
Hornets,East,-11.89112306,-9.261949035,—,—,—,—
