Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,9.490952846,7.377883657,—,97.48087088,40.97239533,26.19711423,Boston Celtics,bos,0.9748087087999999,0.2619711423
76ers,East,6.881035982,5.482545745,—,97.10470201,18.5816784,10.42652162,Philadelphia 76ers,phi,0.9710470201,0.10426521620000001
Nuggets,West,5.797904783,5.689583183,—,97.70024295,36.70264349,18.82986589,Denver Nuggets,den,0.9770024295,0.1882986589
T-Wolves,West,5.791121497,2.144972191,—,96.01582853,12.19279305,4.638489612,Minnesota Timberwolves,min,0.9601582852999999,0.04638489612
Bucks,East,3.691600327,2.184229099,—,96.94470201,19.73221107,8.851304039,Milwaukee Bucks,mil,0.9694470201000001,0.08851304039
Heat,East,3.545927104,2.515337725,—,92.3773762,5.346407831,2.608683855,Miami Heat,mia,0.923773762,0.02608683855
Pelicans,West,3.185164425,1.077853927,—,70.43317667,5.084438914,1.518545945,New Orleans Pelicans,no,0.7043317667,0.015185459450000001
Warriors,West,3.131637434,1.369806311,—,68.96745605,6.035090231,2.272608646,Golden State Warriors,gs,0.6896745605,0.022726086460000003
Thunder,West,3.124347379,1.366348871,—,91.55147702,7.601895281,2.395507205,Oklahoma City Thunder,okc,0.9155147701999999,0.023955072049999998
Lakers,West,2.34471402,1.661818586,100,67.44238414,6.758877828,3.138489612,Los Angeles Lakers,lal,0.6744238414,0.03138489612
Clippers,West,2.30941298,-0.026441262,—,80.64515601,7.538204524,3.573946355,LA Clippers,lac,0.8064515601,0.035739463549999996
Knicks,East,2.107000015,2.866534758,—,87.45333266,4.6379196,2.399810927,New York Knicks,ny,0.8745333266,0.023998109269999998
Cavaliers,East,1.958129065,3.034905985,—,88.55986369,5.492249947,2.619810927,Cleveland Cavaliers,cle,0.8855986369,0.026198109270000002
Suns,West,1.048573839,0.65074434,—,49.97600466,8.217755655,4.072845693,Phoenix Suns,phx,0.4997600466,0.04072845693
Kings,West,0.682626134,0.827680929,—,72.51254645,4.685918552,1.638683855,Sacramento Kings,sac,0.7251254645,0.01638683855
Bulls,East,0.660764629,0.646401041,—,32.06287198,0.655177144,0.311748144,Chicago Bulls,chi,0.32062871979999996,0.00311748144
Hawks,East,0.258456639,0.35532672,—,32.40073418,1.005930308,0.422076881,Atlanta Hawks,atl,0.3240073418,0.00422076881
Nets,East,0.210684413,0.758934692,—,45.77179932,0.835454182,0.413091005,Brooklyn Nets,bkn,0.4577179932,0.0041309100500000005
Magic,East,-0.183556692,-1.487215387,—,75.90962126,1.47033568,0.499814877,Orlando Magic,orl,0.7590962125999999,0.0049981487699999995
Rockets,West,-0.632509493,-6.050991277,—,36.04040869,0.487983889,0.315964142,Houston Rockets,hou,0.3604040869,0.00315964142
Raptors,East,-0.717707779,-0.867971442,—,15.18644051,0.395882221,0.181748144,Toronto Raptors,tor,0.15186440510000002,0.00181748144
Mavericks,West,-1.025461027,-0.598006607,—,57.43843373,3.631895281,1.598260808,Dallas Mavericks,dal,0.5743843373,0.015982608080000002
Pacers,East,-2.181527224,-3.600588909,—,34.8065758,0.616503504,0.511003736,Indiana Pacers,ind,0.34806575799999995,0.005110037360000001
Grizzlies,West,-2.607591417,-0.189129678,—,8.265578245,0.708139901,0.315964142,Memphis Grizzlies,mem,0.08265578245,0.00315964142
Jazz,West,-6.635578616,-3.456911456,—,2.532521665,0.18435729,<0.1,Utah Jazz,uta,0.02532521665,0.001
Wizards,East,-7.393183787,-3.732195775,—,0.237699633,0.085951594,<0.1,Washington Wizards,wsh,0.00237699633,0.001
Hornets,East,-8.15172603,-7.286152985,—,3.513060759,0.085951594,<0.1,Charlotte Hornets,cha,0.03513060759,0.001
Blazers,West,-10.36664938,-5.459480391,—,0.239392595,0.085003062,<0.1,Portland Trail Blazers,por,0.00239392595,0.001
Spurs,West,-10.50090194,-11.20280424,—,0.239392595,0.085003062,<0.1,San Antonio Spurs,sa,0.00239392595,0.001
Pistons,East,-10.92429837,-9.183983133,—,0.190349109,0.085951594,<0.1,Detroit Pistons,det,0.0019034910899999999,0.001
