Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,9.468457366,7.249101317,—,97.8788044,42.29047288,26.23658985,Boston Celtics,bos,0.9787880440000001,0.26236589850000003
76ers,East,6.47820489,5.085032661,—,97.62178061,17.50439446,9.604847569,Philadelphia 76ers,phi,0.9762178061,0.09604847569000001
T-Wolves,West,5.981703433,2.326315523,—,97.63414313,12.44885689,4.82604629,Minnesota Timberwolves,min,0.9763414313,0.048260462899999995
Nuggets,West,5.867923765,5.805538872,—,98.26505894,35.82162484,19.35711892,Denver Nuggets,den,0.9826505894,0.19357118920000002
Pelicans,West,4.765575874,1.248071016,—,80.0164003,6.049510097,2.15927487,New Orleans Pelicans,no,0.800164003,0.0215927487
Thunder,West,4.642349798,2.079745415,—,96.66810192,11.304672,4.142264126,Oklahoma City Thunder,okc,0.9666810191999999,0.04142264126
Clippers,West,3.410770748,0.780323314,—,93.32937784,9.932263389,4.094847569,LA Clippers,lac,0.9332937784,0.04094847569
Knicks,East,2.869557643,3.338240561,—,92.09381674,6.139067999,2.939837637,New York Knicks,ny,0.9209381673999999,0.02939837637
Cavaliers,East,2.719614633,3.348568545,—,88.85454647,6.121098615,2.956606859,Cleveland Cavaliers,cle,0.8885454647000001,0.029566068589999998
Bucks,East,2.66601964,2.366005781,—,97.16178061,17.98285466,8.680181855,Milwaukee Bucks,mil,0.9716178060999999,0.08680181855
Warriors,West,2.433459122,1.20595414,—,53.8200114,3.989985602,1.31927487,Golden State Warriors,gs,0.538200114,0.013192748700000001
Heat,East,1.977355641,2.358612866,—,90.59679854,5.585535249,2.215486984,Miami Heat,mia,0.9059679853999999,0.02215486984
Lakers,West,1.125985755,1.409370555,100,40.2541243,3.299985602,1.75576728,Los Angeles Lakers,lal,0.402541243,0.0175576728
Suns,West,1.123345305,0.852448395,—,60.15536682,7.942263389,3.739418199,Phoenix Suns,phx,0.6015536682,0.037394181990000004
Magic,East,0.513243376,-1.405370706,—,77.55864881,1.181932627,0.428643746,Orlando Magic,orl,0.7755864881,0.00428643746
Raptors,East,0.378661154,-0.806081295,—,20.65614596,0.511428504,0.211257338,Toronto Raptors,tor,0.2065614596,0.0021125733799999998
Mavericks,West,0.090379408,-0.277380059,—,65.61436554,3.813314135,1.520697527,Dallas Mavericks,dal,0.6561436554,0.01520697527
Bulls,East,0.026186056,0.445516083,—,29.1224113,0.535917365,0.281257338,Chicago Bulls,chi,0.291224113,0.0028125733800000003
Kings,West,0.022120472,0.558174424,—,72.20978703,3.954428446,1.506132063,Sacramento Kings,sac,0.72209787030000006,0.01506132063
Rockets,West,-0.035982655,-5.781143947,—,32.62353015,0.437818931,0.315061209,Houston Rockets,hou,0.3262353015,0.00315061209
Hawks,East,-0.679961336,-0.357050073,—,23.01693701,0.905867214,0.381099326,Atlanta Hawks,atl,0.2301693701,0.00381099326
Pacers,East,-0.85505132,-2.484717705,—,62.74864881,0.741951605,0.539543437,Indiana Pacers,ind,0.6274864881,0.0053954343699999996
Nets,East,-1.518526818,-0.080479538,—,18.72047792,0.23930778,0.13271067,Brooklyn Nets,bkn,0.1872047792,0.0013271067
Grizzlies,West,-4.004436542,-0.5908435,—,6.259080256,0.691798558,0.408643746,Memphis Grizzlies,mem,0.06259080255999999,0.00408643746
Jazz,West,-4.936815265,-3.370178919,—,2.667201368,0.145016193,<0.1,Utah Jazz,uta,0.026672013680000002,0.001
Hornets,East,-8.493788479,-7.380396734,—,3.538102825,0.086723681,<0.1,Charlotte Hornets,cha,0.03538102825,0.001
Wizards,East,-8.849394828,-4.408790926,—,0.239394022,0.086723681,<0.1,Washington Wizards,wsh,0.00239394022,0.001
Pistons,East,-9.721522801,-8.797258503,—,0.19170597,0.086723681,<0.1,Detroit Pistons,det,0.0019170597,0.001
Spurs,West,-10.35328238,-11.29567559,—,0.241725502,0.084230962,<0.1,San Antonio Spurs,sa,0.00241725502,0.001
Blazers,West,-11.47522873,-6.498015781,—,0.241725502,0.084230962,<0.1,Portland Trail Blazers,por,0.00241725502,0.001
