timezero,unit,target,value
2020-12-01,mil,season wins,46
2020-12-01,tor,season wins,27
2020-12-01,bos,season wins,36
2020-12-01,mia,season wins,40
2020-12-01,phi,season wins,49
2020-12-01,bkn,season wins,48
2020-12-01,ind,season wins,34
2020-12-01,atl,season wins,41
2020-12-01,wsh,season wins,34
2020-12-01,orl,season wins,21
2020-12-01,cha,season wins,33
2020-12-01,chi,season wins,31
2020-12-01,ny,season wins,41
2020-12-01,det,season wins,20
2020-12-01,cle,season wins,22
2020-12-01,lal,season wins,42
2020-12-01,lac,season wins,47
2020-12-01,hou,season wins,17
2020-12-01,uta,season wins,52
2020-12-01,den,season wins,47
2020-12-01,dal,season wins,42
2020-12-01,no,season wins,31
2020-12-01,phx,season wins,51
2020-12-01,por,season wins,42
2020-12-01,mem,season wins,38
2020-12-01,min,season wins,23
2020-12-01,sac,season wins,31
2020-12-01,sa,season wins,33
2020-12-01,gs,season wins,39
2020-12-01,okc,season wins,22
2020-12-01,mil,win finals,true
2020-12-01,tor,win finals,false
2020-12-01,bos,win finals,false
2020-12-01,mia,win finals,false
2020-12-01,phi,win finals,false
2020-12-01,bkn,win finals,false
2020-12-01,ind,win finals,false
2020-12-01,atl,win finals,false
2020-12-01,wsh,win finals,false
2020-12-01,orl,win finals,false
2020-12-01,cha,win finals,false
2020-12-01,chi,win finals,false
2020-12-01,ny,win finals,false
2020-12-01,det,win finals,false
2020-12-01,cle,win finals,false
2020-12-01,lal,win finals,false
2020-12-01,lac,win finals,false
2020-12-01,hou,win finals,false
2020-12-01,uta,win finals,false
2020-12-01,den,win finals,false
2020-12-01,dal,win finals,false
2020-12-01,no,win finals,false
2020-12-01,phx,win finals,false
2020-12-01,por,win finals,false
2020-12-01,mem,win finals,false
2020-12-01,min,win finals,false
2020-12-01,sac,win finals,false
2020-12-01,sa,win finals,false
2020-12-01,gs,win finals,false
2020-12-01,okc,win finals,false
2020-12-01,mil,make playoffs,true
2020-12-01,tor,make playoffs,false
2020-12-01,bos,make playoffs,true
2020-12-01,mia,make playoffs,true
2020-12-01,phi,make playoffs,true
2020-12-01,bkn,make playoffs,true
2020-12-01,ind,make playoffs,false
2020-12-01,atl,make playoffs,true
2020-12-01,wsh,make playoffs,true
2020-12-01,orl,make playoffs,false
