unit,city,teamname,conf,record,wins,losses,diff,make_playoffs,make_finals,win_finals
por,POR,Trail Blazers,West,37-35,37,35,0.6,0.520,0.030,0.010
sac,SAC,Kings,West,34-38,34,38,-0.7,0.370,0.030,0.010
sa,SA,Spurs,West,39-33,39,33,1.1,0.570,0.060,0.020
mem,MEM,Grizzlies,West,39-33,39,33,1.1,0.580,0.060,0.020
phi,PHI,76ers,East,39-33,39,33,1.2,0.780,0.050,0.020
ind,IND,Pacers,East,38-34,38,34,0.8,0.750,0.050,0.020
dal,DAL,Mavericks,West,37-35,37,35,0.6,0.520,0.040,0.020
okc,OKC,Thunder,West,37-35,37,35,0.5,0.510,0.050,0.020
phx,PHX,Suns,West,41-31,41,31,1.9,0.670,0.080,0.030
hou,HOU,Rockets,West,40-32,40,32,1.6,0.640,0.060,0.030
den,DEN,Nuggets,West,40-32,40,32,1.9,0.670,0.080,0.030
uta,UTA,Jazz,West,40-32,40,32,1.6,0.640,0.060,0.030
lac,LAC,Clippers,West,45-27,45,27,3.7,0.830,0.150,0.070
mia,MIA,Heat,East,44-28,44,28,3.4,0.910,0.150,0.080
mil,MIL,Bucks,East,45-27,45,27,3.9,0.940,0.160,0.090
lal,LAL,Lakers,West,49-23,49,23,5.7,0.930,0.270,0.150
tor,TOR,Raptors,East,48-24,48,24,5.1,0.970,0.260,0.150
bos,BOS,Celtics,East,49-23,49,23,5.6,0.970,0.260,0.160
orl,ORL,Magic,East,37-35,37,35,0.3,0.680,0.020,0.003
bkn,BKN,Nets,East,35-37,35,37,-0.3,0.620,0.020,0.003
no,NO,Pelicans,West,34-38,34,38,-1,0.350,0.030,0.003
cha,CHA,Hornets,East,30-42,30,42,-2.8,0.330,0.003,0.003
ny,NY,Knicks,East,27-45,27,45,-4,0.210,0.003,0.003
min,MIN,Timberwolves,West,27-45,27,45,-4,0.090,0.003,0.003
wsh,WSH,Wizards,East,27-45,27,45,-3.9,0.230,0.003,0.003
gs,GS,Warriors,West,26-46,26,46,-4.2,0.080,0.003,0.003
chi,CHI,Bulls,East,25-47,25,47,-5,0.150,0.003,0.003
atl,ATL,Hawks,East,25-47,25,47,-4.7,0.170,0.003,0.003
det,DET,Pistons,East,24-48,24,48,-5.2,0.130,0.003,0.003
cle,CLE,Cavaliers,East,24-48,24,48,-5.1,0.140,0.003,0.003
