unit,city,teamname,conf,record,wins,losses,diff,make_playoffs,make_finals,win_finals
por,POR,Trail Blazers,West,23-59,23,59,-7.300,0.020,0.000,0.000
hou,HOU,Rockets,West,26-56,26,56,-6.000,0.050,0.000,0.000
orl,ORL,Magic,East,27-55,27,55,-5.500,0.060,0.001,0.000
okc,OKC,Thunder,West,27-55,27,55,-5.400,0.070,0.001,0.000
det,DET,Pistons,East,29-53,29,53,-4.500,0.110,0.003,0.000
ind,IND,Pacers,East,30-52,30,52,-4.100,0.130,0.003,0.000
sac,SAC,Kings,West,32-50,32,50,-3.500,0.180,0.004,0.001
lal,LAL,Lakers,West,34-48,34,48,-2.500,0.260,0.009,0.003
wsh,WSH,Wizards,East,34-48,34,48,-2.600,0.250,0.008,0.003
chi,CHI,Bulls,East,35-47,35,47,-2.300,0.280,0.009,0.003
cle,CLE,Cavaliers,East,39-43,39,43,-0.700,0.450,0.020,0.010
sa,SA,Spurs,West,40-42,40,42,-0.500,0.480,0.020,0.009
ny,NY,Knicks,East,42-40,42,40,0.500,0.590,0.040,0.020
den,DEN,Nuggets,West,43-39,43,39,0.900,0.640,0.040,0.020
bkn,BKN,Nets,East,43-39,43,39,0.800,0.610,0.050,0.020
cha,CHA,Hornets,East,43-39,43,39,0.900,0.630,0.050,0.020
lac,LAC,Clippers,West,43-39,43,39,0.600,0.610,0.040,0.020
no,NO,Pelicans,West,44-38,44,38,1.200,0.670,0.050,0.020
atl,ATL,Hawks,East,44-38,44,38,1.200,0.660,0.050,0.020
min,MIN,Timberwolves,West,45-37,45,37,1.600,0.710,0.060,0.030
tor,TOR,Raptors,East,46-36,46,36,1.700,0.720,0.070,0.030
uta,UTA,Jazz,West,46-36,46,36,2.000,0.740,0.070,0.030
phx,PHX,Suns,West,49-33,49,33,3.200,0.840,0.120,0.060
phi,PHI,76ers,East,49-33,49,33,3.000,0.830,0.110,0.050
mil,MIL,Bucks,East,49-33,49,33,3.100,0.830,0.110,0.050
mem,MEM,Grizzlies,West,51-31,51,31,3.900,0.890,0.150,0.080
dal,DAL,Mavericks,West,51-31,51,31,3.800,0.880,0.140,0.070
mia,MIA,Heat,East,52-30,52,30,4.400,0.910,0.180,0.100
bos,BOS,Celtics,East,56-26,56,26,5.900,0.960,0.290,0.170
gs,GS,Warriors,West,57-25,57,25,6.200,0.970,0.300,0.170
