unit,city,teamname,conf,record,wins,losses,diff,make_playoffs,make_finals,win_finals
bos,BOS,Celtics3-1,East,56-26,56,26,5.5,0.960,0.290,0.160
gs,GS,Warriors3-2,West,54-28,54,28,4.9,0.950,0.220,0.120
dal,DAL,Mavericks2-2,West,53-29,53,29,5,0.920,0.170,0.090
phx,PHX,Suns3-1,West,53-29,53,29,4.8,0.930,0.170,0.090
mil,MIL,Bucks3-0,East,52-30,52,30,3.9,0.890,0.160,0.080
mem,MEM,Grizzlies4-1,West,52-30,52,30,3.6,0.910,0.140,0.080
no,NO,Pelicans3-1,West,49-33,49,33,3.1,0.830,0.090,0.050
uta,UTA,Jazz4-1,West,49-33,49,33,2.8,0.830,0.080,0.040
tor,TOR,Raptors3-2,East,48-34,48,34,2.6,0.800,0.100,0.040
mia,MIA,Heat2-4,East,47-35,47,35,2.7,0.790,0.110,0.050
cha,CHA,Hornets2-2,East,46-36,46,36,2.3,0.740,0.070,0.030
min,MIN,Timberwolves3-2,West,44-38,44,38,1,0.660,0.040,0.020
cle,CLE,Cavaliers3-1,East,44-38,44,38,1.2,0.630,0.050,0.020
phi,PHI,76ers1-4,East,44-38,44,38,1.5,0.660,0.070,0.030
ny,NY,Knicks3-1,East,44-38,44,38,1.3,0.660,0.060,0.020
atl,ATL,Hawks3-1,East,43-39,43,39,0.6,0.620,0.050,0.020
den,DEN,Nuggets3-2,West,42-40,42,40,0,0.590,0.030,0.010
sa,SA,Spurs3-2,West,41-41,41,41,-0.3,0.540,0.030,0.010
lac,LAC,Clippers2-3,West,39-43,39,43,-0.9,0.440,0.020,0.008
bkn,BKN,Nets1-4,East,39-43,39,43,-0.9,0.410,0.020,0.009
wsh,WSH,Wizards3-1,East,37-45,37,45,-1.7,0.330,0.010,0.004
chi,CHI,Bulls3-2,East,37-45,37,45,-1.5,0.350,0.010,0.005
lal,LAL,Lakers0-4,West,30-52,30,52,-3.7,0.130,0.003,0.001
por,POR,Trail Blazers4-1,West,29-53,29,53,-5.1,0.080,0.001,0.000
okc,OKC,Thunder2-3,West,28-54,28,54,-4.7,0.080,0.001,0.000
sac,SAC,Kings0-4,West,27-55,27,55,-4.9,0.070,0.001,0.000
ind,IND,Pacers1-4,East,27-55,27,55,-5.1,0.060,0.002,0.000
det,DET,Pistons1-4,East,26-56,26,56,-5.8,0.050,0.001,0.000
hou,HOU,Rockets1-4,West,25-57,25,57,-6,0.040,0.000,0.000
orl,ORL,Magic0-5,East,24-58,24,58,-6.1,0.030,0.000,0.000
